linenumber,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
1,DR001,Expenditure,Insurance,30.15,,0,,1750-09-26,Outfitting,Pound sterling,
2,DR001,Expenditure,Other expenditures,513.11,,0,,1750-09-26,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
3,DR001,Expenditure,Ship out,100,,0,,1750-09-26,Outfitting,Pound sterling,
4,DR001,Return,Total returns,525.43,,0,,1753-02-23,Return,Pound sterling,
5,DR001,Return,Ship In,75,,0,VSRV,,Return,Pound sterling,
6,DR002,Expenditure,Insurance,6.53,,0,,,Outfitting,Pound sterling,
7,DR002,Expenditure,Other expenditures,140.9,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
8,DR002,Expenditure,Trade cargo costs,88.36,Credit,0,,,Outfitting,Pound sterling,
9,DR002,Return,Total returns,247.31,,0,,1755-08-12,Return,Pound sterling,
10,DR002,Expenditure,Ship Out,40.0843,,0,VSDT*VSDO,,Outfitting,Pound sterling,
11,DR002,Return,Ship In,30.063225,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
12,DR003,Expenditure,Insurance,44.33,,0,,,Outfitting,Pound sterling,
13,DR003,Expenditure,Other expenditures,1018.92,Credit,0,,,Outfitting,Pound sterling,
14,DR003,Expenditure,Other expenditures,410.59,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
15,DR003,Return,Other return,799.49,,0,,1756-04-03,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).
16,DR003,Return,Sale of sugar,745.32,,0,,1756-04-03,Return,Pound sterling,
17,DR003,Expenditure,Ship Out,250.5528,,0,VSDT*VSDO,,Outfitting,Pound sterling,
18,DR003,Return,Ship In,187.9146,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
19,DR004,Expenditure,Other expenditures,79.1,,0,,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.
20,DR004,Expenditure,Outfitting,60,,0,,,Outfitting,Pound sterling,
21,DR004,Expenditure,Trade cargo costs,389.89,Credit,0,,,Outfitting,Pound sterling,
22,DR004,Return,Bills of exchange,245.15,,0,,1755-02-20,Return,Pound sterling,
23,DR004,Return,Insurance loss reimbursement,7.5,,0,,,Return,Pound sterling,
24,DR004,Return,Other return,119.61,,0,,1755-02-20,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).
25,DR004,Return,Sale of sugar,183.73,,0,,1755-02-20,Return,Pound sterling,
26,DR004,Expenditure,Insurance,58.2,,0,INT,,Outfitting,Pound sterling,
27,DR004,Expenditure,Ship Out,99.8223,,0,VSDT*VSDO,,Outfitting,Pound sterling,
28,DR004,Return,Ship In,74.866725,,0,VSDT*VSDO*VSRV,,Return,Pound sterling,
