Line number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
1,KR001,Expenditure,Crew bonus,2054,,0,,,Return,Danish rigsdaler,
2,KR001,Expenditure,Crew costs,5440,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
3,KR001,Expenditure,Extraordinary expenses,897,,0,,,Outfitting,Danish rigsdaler,
4,KR001,Expenditure,Outfitting costs,13565,,0,,,Outfitting,Danish rigsdaler,
5,KR001,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
6,KR001,Expenditure,Value of ship before departure,5226,,0,,,Outfitting,Danish rigsdaler,
7,KR001,Return,Remitted sale of slaves in America,41910,,0,,,Return,Danish rigsdaler,
8,KR001,Return,Sale of American goods,2108,,0,,,Return,Danish rigsdaler,
9,KR001,Return,Insurance loss reimbursement,418,,0,Other,,Return,Danish rigsdaler,Estimated based on assumptions about what might have been insured.
10,KR002,Expenditure,Crew bonus,1537,,0,,,Return,Danish rigsdaler,
11,KR002,Expenditure,Crew costs,4360,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
12,KR002,Expenditure,Extraordinary expenses,1629,,0,,,Outfitting,Danish rigsdaler,
13,KR002,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
14,KR002,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
15,KR002,Expenditure,Value of ship before departure,4800,,0,,,Outfitting,Danish rigsdaler,
16,KR002,Return,Remitted sale of slaves in America,30755,,0,,,Return,Danish rigsdaler,
17,KR003,Expenditure,Crew bonus,2514,,0,,,Return,Danish rigsdaler,
18,KR003,Expenditure,Crew costs,4920,,0,,,Outfitting,Danish rigsdaler,
19,KR003,Expenditure,Extraordinary expenses,3774,,0,,,Outfitting,Danish rigsdaler,
20,KR003,Expenditure,Outfitting costs,9845,,0,,,Outfitting,Danish rigsdaler,
21,KR003,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
22,KR003,Return,Remitted sale of slaves in America,42063,,0,,,Return,Danish rigsdaler,
23,KR004,Expenditure,Crew bonus,1861,,0,,,Return,Danish rigsdaler,
24,KR004,Expenditure,Crew costs,7302,,0,,,Outfitting,Danish rigsdaler,
25,KR004,Expenditure,Extraordinary expenses,743,,0,,,Outfitting,Danish rigsdaler,
26,KR004,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
27,KR004,Expenditure,Trade cargo costs,46600,,0,,,Outfitting,Danish rigsdaler,
28,KR004,Return,Remitted sale of slaves in America,43119,,0,,,Return,Danish rigsdaler,
29,KR005,Expenditure,Crew bonus,1944,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
30,KR005,Expenditure,Crew costs,6871,,0,,,Outfitting,Danish rigsdaler,
31,KR005,Expenditure,Extraordinary expenses,5481,,0,,,Outfitting,Danish rigsdaler,
32,KR005,Expenditure,Outfitting costs,6736,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
33,KR005,Expenditure,Trade cargo costs,50704,,0,,,Outfitting,Danish rigsdaler,
34,KR005,Return,Remitted sale of slaves in America,39116,,0,Other,,Return,Danish rigsdaler,Estimate based on number of slaves sold and assumption of average price of slaves sold by Bargum.
35,KR006,Expenditure,Crew bonus,1215,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
36,KR006,Expenditure,Crew costs,3500,,0,,,Outfitting,Danish rigsdaler,
37,KR006,Expenditure,Extraordinary expenses,2181,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
38,KR006,Expenditure,Outfitting costs,7112,,0,,,Outfitting,Danish rigsdaler,
39,KR006,Expenditure,Trade cargo costs,35658,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
40,KR006,Expenditure,Value of ship before departure,3450,,0,,,Outfitting,Danish rigsdaler,
41,KR006,Return,Remitted sale of slaves in America,24486,,0,Other,,Return,Danish rigsdaler,Estimate based on number of slaves sold and assumption of average price of slaves sold by Bargum.
42,KR007,Expenditure,Crew bonus,1341,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
43,KR007,Expenditure,Crew costs,3500,,0,Other,,Outfitting,Danish rigsdaler,"Estimates based on monthly hiring costs, mulitplied by an assumed number of months of hire (based on the length of an average venture, 20 months)."
44,KR007,Expenditure,Extraordinary expenses,2181,,0,Other,,Outfitting,Danish rigsdaler,Estimate based on average figure for other ventures by the Bargum Trading society.
45,KR007,Expenditure,Outfitting costs,4424,,0,,,Outfitting,Danish rigsdaler,
46,KR007,Expenditure,Trade cargo costs,36530,,0,,,Outfitting,Danish rigsdaler,
47,KR007,Return,Remitted sale of slaves in America,27104,,0,Other,,Return,Danish rigsdaler,Estimate based on number of slaves sold and assumption of average price of slaves sold by Bargum.
48,KR008,Expenditure,Crew bonus,1584,,0,Other,,Return,Danish rigsdaler,Estimate based on percentage of slave sales on the same ship
