Line_number,VentureID,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,dateoftransaction,timing,currency,remarks
1,GK001,Expenditure,Value of ship before departure,30000,,,,,Outfitting,Dutch Guilder,
2,GK001,Expenditure,Outfitting costs,13115,,,,,Outfitting,Dutch Guilder,
3,GK001,Expenditure,Advance crew payment,1719,,,,,Outfitting,Dutch Guilder,
4,GK001,Expenditure,Insurance hull,1664,,,,,Outfitting,Dutch Guilder,
5,GK001,Expenditure,Insurance cargo,1301,,,,,Outfitting,Dutch Guilder,
6,GK001,Expenditure,Trade cargo costs,56459,,,,,Outfitting,Dutch Guilder,
7,GK001,Expenditure,Other expenses,9019,,,,,Outfitting,Dutch Guilder,
8,GK001,Return,Value of ship after voyage,27000,,,,,Return,Dutch Guilder,
9,GK001,Return,Bills of exchange sold,97062,,,,,Return,Dutch Guilder,
10,GK001,Expenditure,Wages crew (including bonuses),10958,,,,,Return,Dutch Guilder,
11,GK001,Expenditure,Other expenses,1259,,,,,Return,Dutch Guilder,
12,GK002,Expenditure,Value of ship before departure,27000,,,,,Outfitting,Dutch Guilder,
13,GK002,Expenditure,Outfitting costs,15888,,,,,Outfitting,Dutch Guilder,
14,GK002,Expenditure,Advance crew payment,1772,,,,,Outfitting,Dutch Guilder,
15,GK002,Expenditure,Insurance hull,1659,,,,,Outfitting,Dutch Guilder,
16,GK002,Expenditure,Insurance cargo,1485,,,,,Outfitting,Dutch Guilder,
17,GK002,Expenditure,Trade cargo costs,56167,,,,,Outfitting,Dutch Guilder,
18,GK002,Expenditure,Other expenses,8047,,,,,Outfitting,Dutch Guilder,
19,GK002,Return,Value of ship after voyage,24000,,,,,Return,Dutch Guilder,
20,GK002,Return,Bills of exchange sold,39058,,,,,Return,Dutch Guilder,
21,GK002,Return,Outstanding claims in colony,60489,credit,,,,Return,Dutch Guilder,
22,GK002,Return,Freight and passengers,5393,,,,,Return,Dutch Guilder,
23,GK002,Expenditure,Wages crew (including bonuses),13217,,,,,Return,Dutch Guilder,
24,GK002,Expenditure,Insurance on return,45,,,,,Return,Dutch Guilder,
25,GK002,Expenditure,Other expenses,3428,,,,,Return,Dutch Guilder,
26,GK003,Expenditure,Value of ship before departure,24000,,,,,Outfitting,Dutch Guilder,
27,GK003,Expenditure,Outfitting costs,16238,,,,,Outfitting,Dutch Guilder,
28,GK003,Expenditure,Advance crew payment,2476,,,,,Outfitting,Dutch Guilder,
29,GK003,Expenditure,Insurance hull,1385,,,,,Outfitting,Dutch Guilder,
30,GK003,Expenditure,Insurance cargo,1857,,,,,Outfitting,Dutch Guilder,
31,GK003,Expenditure,Trade cargo costs,49888,,,,,Outfitting,Dutch Guilder,
32,GK003,Expenditure,Other expenses,7834,,,,,Outfitting,Dutch Guilder,
33,GK003,Return,Value of ship after voyage,21000,,,,,Return,Dutch Guilder,
34,GK003,Return,Plantation produce received,39462,,,,,Return,Dutch Guilder,
35,GK003,Return,Outstanding claims in colony,32552,credit,,,,Return,Dutch Guilder,
36,GK003,Return,African goods sold,13875,,,,,Return,Dutch Guilder,
37,GK003,Expenditure,Wages crew (including bonuses),10031,,,,,Return,Dutch Guilder,
38,GK003,Expenditure,Insurance on return,1269,,,,,Return,Dutch Guilder,
39,GK003,Expenditure,Other expenses,754,,,,,Return,Dutch Guilder,
40,GK004,Expenditure,Value of ship before departure,20400,,,,,Outfitting,Dutch Guilder,
41,GK004,Expenditure,Outfitting costs,20010,,,,,Outfitting,Dutch Guilder,
42,GK004,Expenditure,Advance crew payment,2081,,,,,Outfitting,Dutch Guilder,
43,GK004,Expenditure,Insurance hull,588,,,,,Outfitting,Dutch Guilder,
44,GK004,Expenditure,Insurance cargo,2935,,,,,Outfitting,Dutch Guilder,
45,GK004,Expenditure,Trade cargo costs,49317,,,,,Outfitting,Dutch Guilder,
46,GK004,Expenditure,Other expenses,7446,,,,,Outfitting,Dutch Guilder,
47,GK004,Return,Value of ship after voyage,18000,,,,,Return,Dutch Guilder,
48,GK004,Return,Bills of exchange sold,62990,,,,,Return,Dutch Guilder,
49,GK004,Return,Plantation produce received,4838,,,,,Return,Dutch Guilder,
50,GK004,Return,Outstanding debts in colony,12230,credit,,,,Return,Dutch Guilder,
51,GK004,Return,Freight and passengers,200,,,,,Return,Dutch Guilder,
52,GK004,Return,African goods sold,15579,,,,,Return,Dutch Guilder,
53,GK004,Return,Returned trade cargo,81,,,,,Return,Dutch Guilder,
54,GK004,Expenditure,Wages crew (including bonuses),12422,,,,,Return,Dutch Guilder,
55,GK004,Expenditure,Other expenses,506,,,,,Return,Dutch Guilder,
56,GK004,Expenditure,Costs payable to correspondent,2000,credit,,,,Return,Dutch Guilder,
57,GK005,Expenditure,Value of ship before departure,42000,,,,,Outfitting,Dutch Guilder,
58,GK005,Expenditure,Outfitting costs,26560,,,,,Outfitting,Dutch Guilder,
59,GK005,Expenditure,Advance crew payment,1607,,,,,Outfitting,Dutch Guilder,
60,GK005,Expenditure,Insurance hull,3782,,,,,Outfitting,Dutch Guilder,
61,GK005,Expenditure,Insurance cargo,4042,,,,,Outfitting,Dutch Guilder,
62,GK005,Expenditure,Trade cargo costs,39443,,,,,Outfitting,Dutch Guilder,
63,GK005,Expenditure,Other expenses,4251,,,,,Outfitting,Dutch Guilder,
64,GK005,Return,Value of ship after voyage,21000,,,,,Return,Dutch Guilder,
65,GK005,Return,Bills of exchange sold,112223,,,,,Return,Dutch Guilder,
66,GK005,Return,Freight and passengers,10350,,,,,Return,Dutch Guilder,
67,GK005,Expenditure,Wages crew (including bonuses),18907,,,,,Return,Dutch Guilder,
68,GK005,Expenditure,Insurance on return,384,,,,,Return,Dutch Guilder,
69,GK005,Expenditure,Other expenses,2349,,,,,Return,Dutch Guilder,
70,GK006,Expenditure,Value of ship before departure,15000,,,,,Outfitting,Dutch Guilder,
71,GK006,Expenditure,Outfitting costs,13801,,,,,Outfitting,Dutch Guilder,
72,GK006,Expenditure,Advance crew payment,1535,,,,,Outfitting,Dutch Guilder,
73,GK006,Expenditure,Insurance hull,1824,,,,,Outfitting,Dutch Guilder,
74,GK006,Expenditure,Insurance cargo,1468,,,,,Outfitting,Dutch Guilder,
75,GK006,Expenditure,Trade cargo costs,27157,,,,,Outfitting,Dutch Guilder,
76,GK006,Expenditure,Other expenses,5693,,,,,Outfitting,Dutch Guilder,
77,GK006,Return,Value of ship after voyage,12000,,,,,Return,Dutch Guilder,
78,GK006,Return,Bills of exchange sold,55403,,,,,Return,Dutch Guilder,
79,GK006,Return,Outstanding claims,466,credit,,,,Return,Dutch Guilder,Claim on ship captain
80,GK006,Return,Freight and passengers,492,,,,,Return,Dutch Guilder,
81,GK006,Return,Returned trade cargo,32,,,,,Return,Dutch Guilder,
82,GK006,Expenditure,Wages crew (including bonuses),8690,,,,,Return,Dutch Guilder,
83,GK006,Expenditure,Other expenses,305,,,,,Return,Dutch Guilder,
84,GK007,Expenditure,Value of ship before departure,12000,,,,,Outfitting,Dutch Guilder,
85,GK007,Expenditure,Outfitting costs,11094,,,,,Outfitting,Dutch Guilder,
86,GK007,Expenditure,Advance crew payment,2146,,,,,Outfitting,Dutch Guilder,
87,GK007,Expenditure,Insurance hull,1339,,,,,Outfitting,Dutch Guilder,
88,GK007,Expenditure,Insurance cargo,1468,,,,,Outfitting,Dutch Guilder,
89,GK007,Expenditure,Trade cargo costs,30915,,,,,Outfitting,Dutch Guilder,
90,GK007,Expenditure,Other expenses,6495,,,,,Outfitting,Dutch Guilder,
91,GK007,Return,Value of ship after voyage,9000,,,,,Return,Dutch Guilder,
92,GK007,Return,Bills of exchange sold,45132,,,,,Return,Dutch Guilder,
93,GK007,Return,Plantation produce received,39199,,,,,Return,Dutch Guilder,
94,GK007,Return,Insurance claim,4095,,,,,Return,Dutch Guilder,
95,GK007,Expenditure,Wages crew (including bonuses),17458,,,,,Return,Dutch Guilder,
96,GK007,Expenditure,Other expenses,14099,,,,,Return,Dutch Guilder,
97,GK008,Expenditure,Outfitting costs,25853,,,,,Outfitting,Dutch Guilder,
98,GK008,Expenditure,Advance crew payment,1554,,,,,Outfitting,Dutch Guilder,
99,GK008,Expenditure,Insurance hull,1346,,,,,Outfitting,Dutch Guilder,
100,GK008,Expenditure,Insurance cargo,1116,,,,,Outfitting,Dutch Guilder,
101,GK008,Expenditure,Trade cargo costs,35044,,,,,Outfitting,Dutch Guilder,
102,GK008,Expenditure,Other expenses,5958,,,,,Outfitting,Dutch Guilder,
103,GK008,Return,Value of ship after voyage,9000,,,,,Return,Dutch Guilder,
104,GK008,Return,Bills of exchange sold,75409,,,,,Return,Dutch Guilder,
105,GK008,Return,Plantation produce received,1745,,,,,Return,Dutch Guilder,
106,GK008,Return,Cash received,346,,,,,Return,Dutch Guilder,
107,GK008,Return,Freight and passengers,3182,,,,,Return,Dutch Guilder,
108,GK008,Return,African goods sold,5444,,,,,Return,Dutch Guilder,
109,GK008,Return,Insurance claim,3396,,,,,Return,Dutch Guilder,
110,GK008,Return,Sold equipment,156,,,,,Return,Dutch Guilder,
111,GK008,Return,Returned trade cargo,449,,,,,Return,Dutch Guilder,
112,GK008,Expenditure,Wages crew (including bonuses),12833,,,,,Return,Dutch Guilder,
113,GK008,Expenditure,Other expenses,2102,,,,,Return,Dutch Guilder,
114,GK009,Expenditure,Value of ship before departure,9000,,,,,Outfitting,Dutch Guilder,
115,GK009,Expenditure,Outfitting costs,15019,,,,,Outfitting,Dutch Guilder,
116,GK009,Expenditure,Advance crew payment,1550,,,,,Outfitting,Dutch Guilder,
117,GK009,Expenditure,Insurance hull,829,,,,,Outfitting,Dutch Guilder,
118,GK009,Expenditure,Insurance cargo,1113,,,,,Outfitting,Dutch Guilder,
119,GK009,Expenditure,Trade cargo costs,33095,,,,,Outfitting,Dutch Guilder,
120,GK009,Expenditure,Other expenses,6471,,,,,Outfitting,Dutch Guilder,
121,GK009,Return,Value of ship after voyage,10440,,,,,Return,Dutch Guilder,
122,GK009,Return,Bills of exchange sold,54474,,,,,Return,Dutch Guilder,
123,GK009,Return,Plantation produce received,91,,,,,Return,Dutch Guilder,
124,GK009,Return,Outstanding claims,4049,credit,,,,Return,Dutch Guilder,
125,GK009,Return,Freight and passengers,3133,,,,,Return,Dutch Guilder,
126,GK009,Return,African goods sold,51,,,,,Return,Dutch Guilder,
127,GK009,Return,Insurance claim,1123,,,,,Return,Dutch Guilder,
128,GK009,Return,Returned trade cargo,1503,,,,,Return,Dutch Guilder,
129,GK009,Expenditure,Wages crew (including bonuses),13971,,,,,Return,Dutch Guilder,
130,GK009,Expenditure,Insurance on return,1353,,,,,Return,Dutch Guilder,
