transactionid,ventureid,typeofcashflow,specification,value,meansofpaymentreturn,intermediarytradingoperation,hypothesis,timing,currency,remarks,specificationcategory,dateoftransaction,transaction_year
DR001_H001,DR001,Return,Ship In,75,nan,0,VSRV,Return,Pound sterling,,Ship,,
DR001_T001,DR001,Expenditure,Insurance,30.15,,0,,Outfitting,Pound sterling,,Insurance,-76432,1750
DR001_T002,DR001,Expenditure,Other expenditures,513.10999,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,-76432,1750
DR001_T003,DR001,Expenditure,Ship out,100,,0,,Outfitting,Pound sterling,,Ship,-76432,1750
DR001_T004,DR001,Return,Total returns,525.42999,,0,,Return,Pound sterling,,Unknown,-75551,1753
DR002_H001,DR002,Expenditure,Ship Out,40.084301,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR002_H002,DR002,Return,Ship In,30.063225,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR002_T001,DR002,Expenditure,Insurance,6.5300002,,0,,Outfitting,Pound sterling,,Insurance,,
DR002_T002,DR002,Expenditure,Other expenditures,140.89999,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR002_T003,DR002,Expenditure,Trade cargo costs,88.360001,Credit,0,,Outfitting,Pound sterling,,Trade cargo,,
DR002_T004,DR002,Return,Total returns,247.31,,0,,Return,Pound sterling,,Unknown,-74651,1755
DR003_H001,DR003,Expenditure,Ship Out,250.5528,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR003_H002,DR003,Return,Ship In,187.9146,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR003_T001,DR003,Expenditure,Insurance,44.330002,,0,,Outfitting,Pound sterling,,Insurance,,
DR003_T002,DR003,Expenditure,Other expenditures,1018.92,Credit,0,,Outfitting,Pound sterling,,Various,,
DR003_T003,DR003,Expenditure,Other expenditures,410.59,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR003_T004,DR003,Return,Other return,799.48999,,0,,Return,Pound sterling,Calculated as the remainder after deducting returns specified in the source from total returns (calculated as the total expenditures +/- profit/loss).,Various,-74416,1756
DR003_T005,DR003,Return,Sale of sugar,745.32001,,0,,Return,Pound sterling,,Cargo,-74416,1756
DR004_H001,DR004,Expenditure,Insurance,58.200001,nan,0,INT,Outfitting,Pound sterling,,Insurance,,
DR004_H002,DR004,Expenditure,Ship Out,99.822304,nan,0,VSDT*VSDO,Outfitting,Pound sterling,,Ship,,
DR004_H003,DR004,Return,Ship In,74.866722,nan,0,VSDT*VSDO*VSRV,Return,Pound sterling,,Ship,,
DR004_T001,DR004,Expenditure,Other expenditures,79.099998,,0,,Outfitting,Pound sterling,Calculated as the remainder. after deducting expenditures specified in the source. from total expenditures specified in the source.,Various,,
DR004_T002,DR004,Expenditure,Outfitting,60,,0,,Outfitting,Pound sterling,,Outfitting,,
DR004_T003,DR004,Expenditure,Trade cargo costs,389.89001,Credit,0,,Outfitting,Pound sterling,,Trade cargo,,
DR004_T004,DR004,Return,Bills of exchange,245.14999,,0,,Return,Pound sterling,,Credit,-74824,1755
DR004_T005,DR004,Return,Insurance loss reimbursement,7.5,,0,,Return,Pound sterling,,Insurance,,
