		(1)
VARIABLES	LABELS	(Net returns over net outlays) -1
		
2.nationality_num	Nationality = 2, Dutch	-0.0038
		(0.066)
4.nationality_num	Nationality = 4, French	0.21***
		(0.075)
1.period	Period = 1, pre-1750	-0.082
		(0.080)
3.period	Period = 3, 1776-1800	0.19***
		(0.068)
4.period	Period = 4, post-1800	0.49***
		(0.16)
war	(mean) war	0.029
		(0.057)
neutral	(mean) neutral	-0.038
		(0.062)
pricemarkup	(mean) pricemarkup	-0.0085
		(0.021)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person	-0.099***
		(0.021)
OUTFITTER_experience_d	Not the first voyage of the outfitter	0.068
		(0.060)
captain_experience_d	Not the first voyage of the captain	0.043
		(0.044)
MORTALITY	Enslaved person mortality rate	-1.39***
		(0.26)
crowd	(mean) crowd	0.0089
		(0.047)
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))	-0.12**
		(0.049)
Constant	Constant	1.92***
		(0.62)
		
Observations		298
R-squared		0.251
Standard errors in parentheses		
*** p<0.01, ** p<0.05, * p<0.1		
