------------------------------------------------------------------------------------------------------------------
                                                          |                       Nationality                     
                                                          |  Danish    Dutch   English   French   Spanish    Total
----------------------------------------------------------+-------------------------------------------------------
(mean) SLAXIMP                                            |                                                       
  Mean                                                    |     420      273       266      393       496      291
  Median                                                  |     429      260       254      392       505      271
  Standard deviation                                      |      69       76       117      150       136      125
  Minimum value                                           |     304       46        60      172       235       46
  Maximum value                                           |     475      479       980      691       739      980
  Number of nonmissing values                             |       5       86       196       22        17      326
Enslaved person mortality rate                            |                                                       
  Mean                                                    |    0.16     0.08      0.14     0.14      0.13     0.12
  Median                                                  |    0.14     0.05      0.14     0.13      0.12     0.11
  Standard deviation                                      |    0.13     0.09      0.06     0.12      0.03     0.08
  Minimum value                                           |    0.00     0.00     -0.12     0.00      0.06    -0.12
  Maximum value                                           |    0.34     0.57      0.44     0.50      0.18     0.57
  Number of nonmissing values                             |       5       86       196       21        17      325
Total net expenditure in g. of silver per enslaved person |                                                       
  Mean                                                    |   1,836    3,051     2,289    2,627     3,602    2,574
  Median                                                  |   2,035    2,733     2,154    2,513     3,610    2,415
  Standard deviation                                      |     439    1,573     1,349    1,055     1,037    1,428
  Minimum value                                           |   1,179    1,381         0      878     1,644        0
  Maximum value                                           |   2,253   13,725     9,132    5,626     6,070   13,725
  Number of nonmissing values                             |       5       86       196       22        17      326
(mean) pricemarkup                                        |                                                       
  Mean                                                    |    4.31     3.89      3.57     2.97         .     3.62
  Median                                                  |    3.96     3.43      3.43     2.84               3.36
  Standard deviation                                      |    2.52     1.33      0.98     0.54         .     1.12
  Minimum value                                           |    1.89     1.89      1.89     2.30         .     1.89
  Maximum value                                           |    6.91     7.36      9.10     4.60         .     9.10
  Number of nonmissing values                             |       5       86       212       25         0      328
------------------------------------------------------------------------------------------------------------------
