---------------------------------------------------------------------------------------------
                                                          |             Nationality          
                                                          |  Dutch   English   French   Total
----------------------------------------------------------+----------------------------------
(mean) SLAXIMP                                            |                                  
  Mean                                                    |    314       302      404     334
  Median                                                  |    303       276      375     306
  Standard deviation                                      |     47        91      126     112
  Minimum value                                           |    273        79      169      79
  Maximum value                                           |    365       606      624     624
  Number of nonmissing values                             |      3        76       35     114
Enslaved person mortality rate                            |                                  
  Mean                                                    |   0.13      0.17     0.13    0.16
  Median                                                  |   0.14      0.15     0.10    0.14
  Standard deviation                                      |   0.04      0.08     0.08    0.08
  Minimum value                                           |   0.08      0.00     0.01    0.00
  Maximum value                                           |   0.17      0.50     0.35    0.50
  Number of nonmissing values                             |      3        76       35     114
Total net expenditure in g. of silver per enslaved person |                                  
  Mean                                                    |  2,128     2,792    2,321   2,700
  Median                                                  |  2,070     2,591    2,222   2,515
  Standard deviation                                      |    201     1,013      899     996
  Minimum value                                           |  1,962       626    1,037     626
  Maximum value                                           |  2,351     6,161    4,369   6,161
  Number of nonmissing values                             |      3        76       14      93
(mean) pricemarkup                                        |                                  
  Mean                                                    |   3.53      4.78     3.67    4.40
  Median                                                  |   3.80      4.56     3.66    4.02
  Standard deviation                                      |   0.62      1.78     1.08    1.65
  Minimum value                                           |   2.81      2.81     2.30    2.30
  Maximum value                                           |   3.96      8.88     7.36    8.88
  Number of nonmissing values                             |      3        76       35     114
---------------------------------------------------------------------------------------------
