-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                                               |   Whole sample 1750-1795, 3 flags Raking: nationality and period Raking: all variables
-------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------
Baseline                                                                                                                       |                                                                                       
  mean                                                                                                                         |          0.144              0.115                          0.132                 0.134
  95% ci                                                                                                                       |  [0.099,0.188]      [0.071,0.160]                  [0.085,0.178]         [0.082,0.187]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Only British                                                                                                                   |                                                                                       
  mean                                                                                                                         |          0.098              0.091                          0.090                 0.082
  95% ci                                                                                                                       |  [0.045,0.151]      [0.033,0.148]                  [0.033,0.147]         [0.024,0.141]
  Nbr. of observations                                                                                                         |            238                207                            207                   199
Only Dutch                                                                                                                     |                                                                                       
  mean                                                                                                                         |          0.042              0.056                          0.059                 0.084
  95% ci                                                                                                                       | [-0.006,0.091]      [0.006,0.106]                  [0.009,0.108]         [0.018,0.150]
  Nbr. of observations                                                                                                         |            101                 90                             90                    83
Only French                                                                                                                    |                                                                                       
  mean                                                                                                                         |          0.241              0.253                          0.252                      
  95% ci                                                                                                                       |  [0.109,0.373]      [0.135,0.372]                  [0.132,0.373]                      
  Nbr. of observations                                                                                                         |             85                 76                             75                      
Without Observations with outstanding claims                                                                                   |                                                                                       
  mean                                                                                                                         |          0.132              0.100                          0.100                 0.112
  95% ci                                                                                                                       |  [0.085,0.178]      [0.053,0.147]                  [0.056,0.144]         [0.034,0.190]
  Nbr. of observations                                                                                                         |            387                319                            319                   302
Claims outstanding assumed to not have been paid at all                                                                        |                                                                                       
  mean                                                                                                                         |          0.110              0.078                          0.091                 0.134
  95% ci                                                                                                                       |  [0.065,0.154]      [0.034,0.123]                  [0.043,0.139]         [0.081,0.186]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Claims outstanding assumed to have been paid in full                                                                           |                                                                                       
  mean                                                                                                                         |          0.178              0.153                          0.172                 0.135
  95% ci                                                                                                                       |  [0.127,0.229]      [0.101,0.204]                  [0.122,0.222]         [0.082,0.189]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Higher cost of hull relative to other outlays (25% instead of 17% in baseline)                                                 |                                                                                       
  mean                                                                                                                         |          0.143              0.115                          0.131                 0.133
  95% ci                                                                                                                       |  [0.098,0.187]      [0.070,0.159]                  [0.084,0.177]         [0.080,0.186]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Lower rate of depreciation (10% instead of baseline 25%)                                                                       |                                                                                       
  mean                                                                                                                         |          0.146              0.118                          0.134                 0.138
  95% ci                                                                                                                       |  [0.101,0.191]      [0.074,0.162]                  [0.087,0.181]         [0.085,0.191]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Cost of insurance not added to any voyages                                                                                     |                                                                                       
  mean                                                                                                                         |          0.172              0.138                          0.158                 0.167
  95% ci                                                                                                                       |  [0.127,0.218]      [0.094,0.182]                  [0.110,0.205]         [0.113,0.221]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Cost of insurance added to outlays, even in cases where accounts seem to suggest total outlays                                 |                                                                                       
  mean                                                                                                                         |          0.122              0.107                          0.122                 0.122
  95% ci                                                                                                                       |  [0.078,0.165]      [0.062,0.151]                  [0.074,0.169]         [0.068,0.175]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Value of hull (outgoing/incoming) added to outlays/returns, even in cases where accounts seem to suggest total outlays/returns |                                                                                       
  mean                                                                                                                         |          0.136              0.106                          0.120                 0.120
  95% ci                                                                                                                       |  [0.092,0.179]      [0.064,0.148]                  [0.077,0.164]         [0.072,0.168]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
Both value of hull and cost of insurance added, in cases where accounts seem to suggest total outlays/returns                  |                                                                                       
  mean                                                                                                                         |          0.115              0.098                          0.112                 0.109
  95% ci                                                                                                                       |  [0.073,0.157]      [0.056,0.141]                  [0.068,0.156]         [0.060,0.158]
  Nbr. of observations                                                                                                         |            446                373                            373                   324
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
