-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                                               |   Whole sample 1750-1795, 3 flags Raking: nationality Raking: nationality and period Raking: all variables
-------------------------------------------------------------------------------------------------------------------------------+-----------------------------------------------------------------------------------------------------------
Baseline                                                                                                                       |                                                                                                           
  mean                                                                                                                         |          0.144              0.115               0.132                          0.132                 0.133
  95% ci                                                                                                                       |  [0.099,0.188]      [0.071,0.160]       [0.083,0.181]                  [0.075,0.189]         [0.058,0.208]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Only British                                                                                                                   |                                                                                                           
  mean                                                                                                                         |          0.098              0.091                                              0.099                 0.110
  95% ci                                                                                                                       |  [0.045,0.151]      [0.033,0.148]                                      [0.006,0.193]         [0.015,0.204]
  Nbr. of observations                                                                                                         |            238                207                                                207                   199
Only Dutch                                                                                                                     |                                                                                                           
  mean                                                                                                                         |          0.042              0.056                                              0.059                 0.089
  95% ci                                                                                                                       | [-0.006,0.091]      [0.006,0.106]                                      [0.009,0.108]         [0.021,0.157]
  Nbr. of observations                                                                                                         |            101                 90                                                 90                    83
Only French                                                                                                                    |                                                                                                           
  mean                                                                                                                         |          0.241              0.253                                              0.254                      
  95% ci                                                                                                                       |  [0.109,0.373]      [0.135,0.372]                                      [0.135,0.374]                      
  Nbr. of observations                                                                                                         |             85                 76                                                 75                      
Without Observations with outstanding claims                                                                                   |                                                                                                           
  mean                                                                                                                         |          0.132              0.100               0.134                          0.204                 0.133
  95% ci                                                                                                                       |  [0.085,0.178]      [0.053,0.147]       [0.074,0.193]                 [-0.111,0.520]         [0.061,0.206]
  Nbr. of observations                                                                                                         |            387                319                 319                            319                   302
Claims outstanding assumed to not have been paid at all                                                                        |                                                                                                           
  mean                                                                                                                         |          0.110              0.078               0.085                          0.064                 0.131
  95% ci                                                                                                                       |  [0.065,0.154]      [0.034,0.123]       [0.032,0.139]                  [0.006,0.122]         [0.057,0.206]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Claims outstanding assumed to have been paid in full                                                                           |                                                                                                           
  mean                                                                                                                         |          0.178              0.153               0.179                          0.201                 0.135
  95% ci                                                                                                                       |  [0.127,0.229]      [0.101,0.204]       [0.125,0.234]                  [0.137,0.264]         [0.059,0.211]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Higher cost of hull relative to other outlays (25% instead of 17% in baseline)                                                 |                                                                                                           
  mean                                                                                                                         |          0.143              0.115               0.131                          0.131                 0.132
  95% ci                                                                                                                       |  [0.098,0.187]      [0.070,0.159]       [0.082,0.180]                  [0.074,0.188]         [0.057,0.207]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Lower rate of depreciation (10% instead of baseline 25%)                                                                       |                                                                                                           
  mean                                                                                                                         |          0.146              0.118               0.135                          0.135                 0.137
  95% ci                                                                                                                       |  [0.101,0.191]      [0.074,0.162]       [0.086,0.184]                  [0.078,0.193]         [0.062,0.212]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Cost of insurance not added to any voyages                                                                                     |                                                                                                           
  mean                                                                                                                         |          0.172              0.138               0.159                          0.163                 0.172
  95% ci                                                                                                                       |  [0.127,0.218]      [0.094,0.182]       [0.109,0.209]                  [0.104,0.221]         [0.096,0.249]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Cost of insurance added to outlays, even in cases where accounts seem to suggest total outlays                                 |                                                                                                           
  mean                                                                                                                         |          0.122              0.107               0.122                          0.123                 0.124
  95% ci                                                                                                                       |  [0.078,0.165]      [0.062,0.151]       [0.073,0.172]                  [0.066,0.181]         [0.049,0.200]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Value of hull (outgoing/incoming) added to outlays/returns, even in cases where accounts seem to suggest total outlays/returns |                                                                                                           
  mean                                                                                                                         |          0.136              0.106               0.121                          0.117                 0.109
  95% ci                                                                                                                       |  [0.092,0.179]      [0.064,0.148]       [0.075,0.167]                  [0.067,0.166]         [0.049,0.170]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
Both value of hull and cost of insurance added, in cases where accounts seem to suggest total outlays/returns                  |                                                                                                           
  mean                                                                                                                         |          0.115              0.098               0.112                          0.109                 0.102
  95% ci                                                                                                                       |  [0.073,0.157]      [0.056,0.141]       [0.066,0.159]                  [0.059,0.159]         [0.041,0.162]
  Nbr. of observations                                                                                                         |            446                373                 373                            373                   324
-------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
