-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
                                                                                                                               |   Whole sample 1750-1795, 3 flags Raking: nationality and period Raking: all variables
-------------------------------------------------------------------------------------------------------------------------------+---------------------------------------------------------------------------------------
Baseline                                                                                                                       |                                                                                       
  mean                                                                                                                         |          0.144              0.116                          0.133                 0.133
  95% ci                                                                                                                       |  [0.099,0.188]      [0.072,0.160]                  [0.076,0.190]         [0.058,0.208]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Only British                                                                                                                   |                                                                                       
  mean                                                                                                                         |          0.099              0.092                          0.101                 0.110
  95% ci                                                                                                                       |  [0.046,0.152]      [0.035,0.150]                  [0.007,0.194]         [0.015,0.204]
  Nbr. of observations                                                                                                         |            239                208                            208                   199
Only Dutch                                                                                                                     |                                                                                       
  mean                                                                                                                         |          0.042              0.056                          0.059                 0.089
  95% ci                                                                                                                       | [-0.006,0.091]      [0.006,0.106]                  [0.009,0.108]         [0.021,0.157]
  Nbr. of observations                                                                                                         |            101                 90                             90                    83
Only French                                                                                                                    |                                                                                       
  mean                                                                                                                         |          0.234              0.252                          0.254                      
  95% ci                                                                                                                       |  [0.097,0.371]      [0.132,0.372]                  [0.135,0.374]                      
  Nbr. of observations                                                                                                         |             82                 75                             75                      
Without Observations with outstanding claims                                                                                   |                                                                                       
  mean                                                                                                                         |          0.129              0.098                            nan                 0.128
  95% ci                                                                                                                       |  [0.083,0.175]      [0.050,0.146]                                        [0.054,0.201]
  Nbr. of observations                                                                                                         |            388                321                            321                   303
Claims outstanding assumed to not have been paid at all                                                                        |                                                                                       
  mean                                                                                                                         |          0.109              0.078                          0.064                 0.130
  95% ci                                                                                                                       |  [0.064,0.153]      [0.034,0.123]                  [0.005,0.122]         [0.055,0.205]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Claims outstanding assumed to have been paid in full                                                                           |                                                                                       
  mean                                                                                                                         |          0.179              0.154                          0.202                 0.136
  95% ci                                                                                                                       |  [0.128,0.230]      [0.103,0.205]                  [0.139,0.265]         [0.061,0.212]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Higher cost of hull relative to other outlays (25% instead of 17% in baseline)                                                 |                                                                                       
  mean                                                                                                                         |          0.143              0.115                          0.132                 0.132
  95% ci                                                                                                                       |  [0.098,0.187]      [0.071,0.160]                  [0.075,0.189]         [0.057,0.207]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Lower rate of depreciation (10% instead of baseline 25%)                                                                       |                                                                                       
  mean                                                                                                                         |          0.146              0.119                          0.136                 0.137
  95% ci                                                                                                                       |  [0.101,0.191]      [0.074,0.163]                  [0.079,0.193]         [0.062,0.212]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Cost of insurance not added to any voyages                                                                                     |                                                                                       
  mean                                                                                                                         |          0.172              0.139                          0.164                 0.172
  95% ci                                                                                                                       |  [0.127,0.218]      [0.094,0.183]                  [0.105,0.222]         [0.096,0.249]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Cost of insurance added to outlays, even in cases where accounts seem to suggest total outlays                                 |                                                                                       
  mean                                                                                                                         |          0.122              0.108                          0.124                 0.124
  95% ci                                                                                                                       |  [0.078,0.165]      [0.063,0.152]                  [0.067,0.182]         [0.049,0.200]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Value of hull (outgoing/incoming) added to outlays/returns, even in cases where accounts seem to suggest total outlays/returns |                                                                                       
  mean                                                                                                                         |          0.136              0.107                          0.117                 0.109
  95% ci                                                                                                                       |  [0.092,0.179]      [0.064,0.149]                  [0.067,0.167]         [0.049,0.170]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
Both value of hull and cost of insurance added, in cases where accounts seem to suggest total outlays/returns                  |                                                                                       
  mean                                                                                                                         |          0.115              0.099                          0.110                 0.102
  95% ci                                                                                                                       |  [0.073,0.157]      [0.057,0.142]                  [0.060,0.160]         [0.041,0.162]
  Nbr. of observations                                                                                                         |            446                374                            374                   324
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
