ventureid,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,numberofvoyages,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,FATEcol,variousremarks,length_in_days,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID
DR001,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Frodsham,,"Torre, Nicholas",,1,,24942,,Bonny,,,,,,,,,.125,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,,,24942
DR002,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Cumberland,,"Torre, Nicholas",,1,,90188,,Gambia,,,,,,,,,.083,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90188
DR003,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Polly,,"Torre, Nicholas",,1,,90408,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90408
DR004,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 103 & 109. 266,,Swallow,,"Torre, Nicholas",,1,,90437,,,,,,,,,,,.125,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90437
DR005,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Cumberland,John Griffin,"Torre, Nicholas",,1,,90187,,Gambia,,,,,,,,,.083,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90187
DR006,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 39. 109,,Hardman,,"Torre, Nicholas",,1,,90151,,Africa,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90151
DR007,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 190,,Marquis of Rockingham,,"Torre, Nicholas",,1,,90335,,Windward Coast,,,,,,,,,.375,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90335
DR008,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,1,,90152,,Africa,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90152
DR009,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 123. 235,,Marquis of Rockingham,,"Torre, Nicholas",,1,,90334,,Windward Coast & Gold Coast,,,,,,,,,.375,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,90334
DR010,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  66. 109,,Frodsham,,"Torre, Nicholas",,1,,24909,,Angola,,,,,,,,,.125,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,24909
