ventureid,data,YEARDEP,YEARAF,SLAXIMP,SLAMIMP,length_in_days,numberofvoyages,DATEDEP,DATEDEP1,DATEDEP2,DATEDEP3,DATEDEP4,DATEDEP5,DATEDEP6,DATEDEP7,DATEEND,DATEEND1,DATEEND2,DATEEND3,DATEEND4,DATEEND5,DATEEND6,DATEEND7,crowd,TONMOD,VYMRTRAT,FATEcol,typeofventure,retranscriber,perspectiveofsource,nationality,source,dateofprimarysource_str,nameoftheship,nameofthecaptain,nameofinvestor,nameofoutfitter,internalcrossref,voyageidintstd,placeofoutfitting,placeofpurchase,placeofdisembarkation,datedepartureportofoutfitt_str,datetradebeganinafrica_str,dateofdeparturefromafrica_str,datevesselarrivedwithenslave_str,datereturnportofoutfitting_str,numberofenslavedpurchased,numberofenslavedsold,shareoftheship,completedataonoutlays,completedataonreturns,profitsreportedinsource,variousremarks,departurefromportofoutfitt,dateofdeparturefromportofoutfitt,primarysource,dateofprimarysource,tradebeganinafrica,datetradebeganinafrica,departurefromafrica,dateofdeparturefromafrica,vesselarrivedwithenslave,datevesselarrivedwithenslave,returntoportofoutfitting,dateofreturntoportofoutfitting,yearofdeparturefromportofoutfit,yearofprimarysource,yeartradebeganinafrica,yearofdeparturefromafrica,yearvesselarrivedwithslaves,yearofreturntoportofoutfitting,yearmin,YEARAF_own,VOYAGEID,nationality_num,ln_SLAXIMP,MORTALITY,period,expenditure,discount,return,costonreturn,totalgrossexp,totaldisc,totalgrossreturn,totalcostonreturn,totalnetexp,totalnetreturn,profit
DR001,1,1750,1751,276,209,,1,,,,,,,,,08/27/1751,-6574780710912,,,,,,,,,.24275362,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Frodsham,,"Torre, Nicholas",,,24942,,Bonny,,,,,,,,,.125,yes,with estimates,,,,,,,,,,,,,,,,,,,,,,,24942,English,5.6204009,.24275362,1751-1775,0,0,75,0,643.26001,0,600.42999,0,643.26001,600.42999,-.066582747
DR002,2,1753,1753,230,197,346,1,02/03/1753,-6529334378496,,,,,,,01/15/1754,-6499440001024,,,,,,,2.7611043,83.3,.14347826,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 27 & 109,,Cumberland,,"Torre, Nicholas",,,90188,,Gambia,,,,,,,,,.083,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90188,English,5.4380794,.14347826,1751-1775,0,0,,0,235.78999,0,247.31,0,235.78999,247.31,.048857052
DR003,2,1753,1754,334,286,600,1,11/13/1753,-6504883159040,,,,,,,07/06/1755,-6453043134464,,,,,,,1.8321449,182.3,.14371258,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Polly,,"Torre, Nicholas",,,90408,,Angola,,,,,,,,,.25,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90408,English,5.811141,.14371258,1751-1775,0,0,,0,1473.84,0,1544.8101,0,1473.84,1544.8101,.048153188
DR004,2,1752,1753,173,148,538,1,11/29/1752,-6535037059072,,,,,,,05/21/1754,-6488553684992,,,,,,,1.5684497,110.3,.14450867,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 103 & 109. 266,,Swallow,,"Torre, Nicholas",,,90437,,,,,,,,,,,.125,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90437,English,5.1532917,.14450867,1751-1775,0,0,,0,528.98999,0,555.98999,0,528.98999,555.98999,.051040664
DR005,2,1751,1752,120,103,403,1,09/13/1751,-6573312180224,,,,,,,10/20/1752,-6538492641280,,,,,,,1.4405762,83.3,.14166667,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 109,,Cumberland,John Griffin,"Torre, Nicholas",,,90187,,Gambia,,,,,,,,,.083,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90187,English,4.7874918,.14166667,1751-1775,0,0,,0,371.92999,0,377.10001,0,371.92999,377.10001,.013900502
DR006,2,1751,1752,258,210,495,1,06/17/1751,-6580915404800,,,,,,,10/24/1752,-6538147135488,,,,,,,2.3390753,110.3,.18604651,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f. 39. 109,,Hardman,,"Torre, Nicholas",,,90151,,Africa,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90151,English,5.5529594,.18604651,1751-1775,0,0,,0,787.83002,0,916.90997,0,787.83002,916.90997,.16384239
DR007,2,1755,1756,195,173,607,1,02/06/1755,-6466003009536,,,,,,,10/05/1756,-6413558480896,,,,,,,1.6345348,119.3,.11282051,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 190,,Marquis of Rockingham,,"Torre, Nicholas",,,90335,,Windward Coast,,,,,,,,,.375,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90335,English,5.2729998,.11282051,1751-1775,0,0,,0,1867.51,0,1483.12,0,1867.51,1483.12,-.20583023
DR008,2,1752,1753,175,150,431,1,12/22/1752,-6533049483264,,,,,,,02/26/1754,-6495811403776,,,,,,,1.5865821,110.3,.14285715,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109,,Hardman,,"Torre, Nicholas",,,90152,,Africa,,,,,,,,,.17,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90152,English,5.1647859,.14285715,1751-1775,0,0,,0,746.78003,0,757.13,0,746.78003,757.13,.01385947
DR009,2,1753,1754,203,180,538,1,06/20/1753,-6517497528320,,,,,,,12/10/1754,-6471014154240,,,,,,,1.7015926,119.3,.11330049,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  109. 123. 235,,Marquis of Rockingham,,"Torre, Nicholas",,,90334,,Windward Coast & Gold Coast,,,,,,,,,.375,yes,yes,,,,,,,,,,,,,,,,,,,,,,,90334,English,5.3132062,.11330049,1751-1775,0,0,,0,1682.2,0,1917.35,0,1682.2,1917.35,.1397872
DR010,2,1751,1752,449,384,574,1,11/12/1751,-6568128020480,,,,,,,06/08/1753,-6518534569984,,,,,,,1.9001269,236.3,.14476615,Voyage completed as intended,Voyage,David Richardson & Klas Rönnbäck,Investor,English,Chetham’s Library. Manchester. Nicholas Torre Accounts. Ledger D.2.21 Journal. f.  66. 109,,Frodsham,,"Torre, Nicholas",,,24909,,Angola,,,,,,,,,.125,yes,yes,,,,,,,,,,,,,,,,,,,,,,,24909,English,6.1070228,.14476615,1751-1775,0,0,,0,878.82001,0,1076.85,0,878.82001,1076.85,.22533621
