		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.25	0.25	0.20	0.22	0.27	0.060	0.053	0.059				0.39	0.20	0.29				0.30	0.24	0.27	0.21	0.17																						0.19
		(0.19)	(0.19)	(0.19)	(0.19)	(0.20)	(0.18)	(0.42)	(0.42)	(0.42)				(0.35)	(0.19)	(0.18)				(0.19)	(0.18)	(0.18)	(0.20)	(0.19)																						(0.20)
2.nationality_num	Nationality = 2, Dutch	-0.055	-0.047	-0.048	-0.048	-0.079	-0.057	-0.048	-0.049	-0.042	-0.065	-0.095	-0.34***	0.053	-0.066	-0.12**	0.00015	0.00015	-0.081	-0.036	-0.0077	-0.067	-0.069	-0.078	-0.077	-0.078	-0.067	-0.077	-0.077	0.0085	-0.056	-0.060	-0.081	-0.084	-0.015	-0.015	-0.13	-0.081	-0.015	-0.015	0.029	-0.081	-0.084	-0.076	-0.015	-0.025
		(0.053)	(0.054)	(0.054)	(0.054)	(0.061)	(0.052)	(0.053)	(0.054)	(0.055)	(0.055)	(0.075)	(0.12)	(0.30)	(0.053)	(0.055)	(0.061)	(0.061)	(0.063)	(0.056)	(0.054)	(0.059)	(0.062)	(0.059)	(0.091)	(0.061)	(0.091)	(0.061)	(0.061)	(0.062)	(0.064)	(0.084)	(0.084)	(0.096)	(0.082)	(0.082)	(0.096)	(0.093)	(0.10)	(0.082)	(0.083)	(0.084)	(0.096)	(0.073)	(0.087)	(0.066)
4.nationality_num	Nationality = 4, French	-0.19**	-0.20**	-0.20**	-0.18**	-0.19**	-0.21**	-0.16*	-0.15*	-0.14	-0.17*	-0.18**	-0.20**	-0.16*	-0.18*	-0.085	-0.11	-0.11	-0.095	-0.17*	-0.11	-0.20*	-0.20**	-0.21**	-0.20**	-0.20**	-0.17*	-0.16*	-0.16*	-0.12	-0.084	-0.084	-0.073	-0.065	-0.017	-0.017	-0.075	-0.0060	-0.017	-0.017	-0.0055	-0.073	-0.065	-0.086	-0.017	-0.14
		(0.087)	(0.087)	(0.087)	(0.087)	(0.089)	(0.086)	(0.090)	(0.089)	(0.090)	(0.089)	(0.089)	(0.088)	(0.092)	(0.095)	(0.092)	(0.088)	(0.088)	(0.089)	(0.089)	(0.091)	(0.10)	(0.089)	(0.087)	(0.089)	(0.089)	(0.092)	(0.091)	(0.091)	(0.096)	(0.095)	(0.097)	(0.100)	(0.099)	(0.100)	(0.100)	(0.098)	(0.099)	(0.22)	(0.100)	(0.10)	(0.100)	(0.099)	(0.089)	(0.21)	(0.092)
5.nationality_num	Nationality = 5, Spanish	0.75***	0.60***	0.67***	0.65***	0.75***		0.76***	0.77***	0.78***	0.70***	0.72***	0.76***	0.75***	0.65***	0.73***				0.81***	0.83***	0.68***	0.62***																							0.64***
