		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.24	0.24	0.18	0.20	0.27	0.056	0.053	0.059				0.48*	0.20	0.29				0.30	0.24	0.28	0.19	0.16																						0.17
		(0.19)	(0.19)	(0.19)	(0.19)	(0.20)	(0.18)	(0.42)	(0.42)	(0.42)				(0.27)	(0.18)	(0.18)				(0.19)	(0.18)	(0.18)	(0.19)	(0.19)																						(0.20)
2.nationality_num	Nationality = 2, Dutch	-0.054	-0.044	-0.044	-0.044	-0.079	-0.056	-0.047	-0.047	-0.040	-0.058	-0.063	-0.14	0.14	-0.064	-0.12**	-0.0075	-0.0075	-0.089	-0.031	-0.010	-0.075	-0.068	-0.072	-0.029	-0.070	-0.022	-0.069	-0.069	0.016	-0.052	-0.071	-0.091	-0.10	-0.030	-0.030	-0.14	-0.090	-0.030	-0.030	0.017	-0.091	-0.10	-0.087	-0.030	-0.0093
		(0.051)	(0.051)	(0.051)	(0.051)	(0.057)	(0.049)	(0.050)	(0.051)	(0.052)	(0.052)	(0.068)	(0.10)	(0.19)	(0.049)	(0.051)	(0.058)	(0.058)	(0.059)	(0.053)	(0.049)	(0.056)	(0.057)	(0.055)	(0.081)	(0.057)	(0.081)	(0.057)	(0.057)	(0.056)	(0.057)	(0.077)	(0.078)	(0.087)	(0.076)	(0.076)	(0.088)	(0.086)	(0.095)	(0.076)	(0.077)	(0.078)	(0.087)	(0.068)	(0.082)	(0.061)
4.nationality_num	Nationality = 4, French	-0.014	-0.045	-0.045	-0.040	-0.040	-0.019	0.0088	0.013	0.025	0.0080	-0.000046	0.0059	0.012	-0.052	0.023	-0.031	-0.031	-0.010	0.023	0.046	-0.070	-0.061	-0.067	-0.053	-0.044	-0.029	-0.018	-0.018	0.024	0.050	0.0087	0.024	0.026	0.072	0.072	0.019	0.064	0.072	0.072	0.089	0.024	0.026	0.014	0.072	0.0082
		(0.066)	(0.067)	(0.067)	(0.066)	(0.070)	(0.065)	(0.067)	(0.067)	(0.069)	(0.067)	(0.067)	(0.067)	(0.067)	(0.070)	(0.067)	(0.079)	(0.079)	(0.079)	(0.069)	(0.068)	(0.077)	(0.071)	(0.069)	(0.071)	(0.071)	(0.072)	(0.072)	(0.072)	(0.075)	(0.073)	(0.084)	(0.087)	(0.086)	(0.087)	(0.087)	(0.085)	(0.088)	(0.18)	(0.087)	(0.089)	(0.087)	(0.086)	(0.078)	(0.17)	(0.074)
5.nationality_num	Nationality = 5, Spanish	0.75***	0.57***	0.64***	0.68***	0.75***		0.76***	0.77***	0.78***	0.70***	0.71***	0.73***	0.75***	0.66***	0.73***				0.83***	0.83***	0.68***	0.60***																							0.67***
