		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.24	0.23	0.18	0.20	0.26	0.049	0.047	0.052				0.48*	0.20	0.29				0.29	0.24	0.27	0.19	0.15																						0.17
		(0.19)	(0.19)	(0.19)	(0.19)	(0.20)	(0.18)	(0.42)	(0.42)	(0.42)				(0.27)	(0.19)	(0.18)				(0.19)	(0.18)	(0.18)	(0.20)	(0.19)																						(0.20)
2.nationality_num	Nationality = 2, Dutch	-0.060	-0.050	-0.050	-0.049	-0.084	-0.063	-0.054	-0.053	-0.047	-0.064	-0.072	-0.15	0.14	-0.071	-0.13**	-0.013	-0.013	-0.095	-0.038	-0.016	-0.081	-0.072	-0.076	-0.036	-0.074	-0.028	-0.073	-0.073	0.013	-0.055	-0.074	-0.094	-0.11	-0.033	-0.033	-0.15*	-0.095	-0.033	-0.033	0.014	-0.094	-0.11	-0.089	-0.033	-0.014
		(0.051)	(0.051)	(0.051)	(0.051)	(0.057)	(0.049)	(0.051)	(0.051)	(0.052)	(0.052)	(0.069)	(0.10)	(0.19)	(0.050)	(0.051)	(0.058)	(0.058)	(0.059)	(0.053)	(0.050)	(0.056)	(0.057)	(0.055)	(0.081)	(0.057)	(0.081)	(0.057)	(0.057)	(0.056)	(0.057)	(0.077)	(0.078)	(0.088)	(0.076)	(0.076)	(0.088)	(0.086)	(0.095)	(0.076)	(0.077)	(0.078)	(0.088)	(0.069)	(0.082)	(0.061)
4.nationality_num	Nationality = 4, French	-0.020	-0.052	-0.052	-0.047	-0.045	-0.025	0.0029	0.0064	0.018	0.0015	-0.0065	-0.00032	0.0056	-0.060	0.017	-0.037	-0.037	-0.017	0.016	0.040	-0.077	-0.066	-0.072	-0.058	-0.049	-0.034	-0.022	-0.022	0.019	0.046	0.0047	0.020	0.022	0.068	0.068	0.015	0.060	0.068	0.068	0.084	0.020	0.022	0.0100	0.068	0.0035
		(0.066)	(0.067)	(0.067)	(0.067)	(0.070)	(0.065)	(0.068)	(0.067)	(0.069)	(0.067)	(0.067)	(0.067)	(0.067)	(0.070)	(0.067)	(0.079)	(0.079)	(0.079)	(0.070)	(0.068)	(0.077)	(0.071)	(0.069)	(0.071)	(0.071)	(0.073)	(0.072)	(0.072)	(0.075)	(0.073)	(0.084)	(0.087)	(0.087)	(0.087)	(0.087)	(0.085)	(0.088)	(0.18)	(0.087)	(0.089)	(0.087)	(0.087)	(0.078)	(0.17)	(0.074)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.56***	0.62***	0.66***	0.74***		0.76***	0.76***	0.77***	0.70***	0.71***	0.72***	0.74***	0.65***	0.72***				0.82***	0.82***	0.67***	0.59***																							0.66***
