		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.24	0.24	0.20	0.22	0.27	0.047	0.051	0.058				0.48*	0.19	0.29*				0.30*	0.24	0.28*	0.21	0.18																						0.20
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.17)	(0.16)				(0.18)	(0.17)	(0.17)	(0.18)	(0.18)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.056	-0.046	-0.047	-0.046	-0.072	-0.058	-0.050	-0.049	-0.042	-0.063	-0.071	-0.15	0.14	-0.067	-0.13***	0.0044	0.0044	-0.087	-0.028	-0.0043	-0.091*	-0.060	-0.064	-0.027	-0.065	-0.019	-0.064	-0.064	0.032	-0.046	-0.052	-0.078	-0.092	-0.0038	-0.0038	-0.14*	-0.086	-0.0038	-0.0038	0.046	-0.078	-0.092	-0.059	-0.0038	0.0023
		(0.048)	(0.048)	(0.048)	(0.048)	(0.054)	(0.046)	(0.047)	(0.048)	(0.048)	(0.049)	(0.064)	(0.095)	(0.18)	(0.046)	(0.047)	(0.053)	(0.053)	(0.053)	(0.049)	(0.046)	(0.052)	(0.054)	(0.052)	(0.076)	(0.053)	(0.075)	(0.053)	(0.053)	(0.050)	(0.050)	(0.067)	(0.068)	(0.077)	(0.066)	(0.066)	(0.073)	(0.077)	(0.092)	(0.066)	(0.068)	(0.068)	(0.077)	(0.057)	(0.079)	(0.057)
4.nationality_num	Nationality = 4, French	0.046	0.017	0.017	0.024	0.029	0.042	0.077	0.074	0.087	0.072	0.061	0.067	0.076	0.012	0.096	0.073	0.073	0.10	0.092	0.13**	0.011	0.0079	0.0031	0.019	0.030	0.046	0.066	0.066	0.12*	0.15**	0.14*	0.15**	0.15**	0.21***	0.21***	0.15**	0.20**	0.21**	0.21***	0.23***	0.15**	0.15**	0.15**	0.21**	0.086
		(0.062)	(0.063)	(0.063)	(0.063)	(0.066)	(0.060)	(0.063)	(0.063)	(0.064)	(0.063)	(0.063)	(0.063)	(0.063)	(0.065)	(0.062)	(0.072)	(0.072)	(0.071)	(0.065)	(0.062)	(0.071)	(0.067)	(0.065)	(0.066)	(0.066)	(0.067)	(0.067)	(0.067)	(0.067)	(0.064)	(0.073)	(0.076)	(0.076)	(0.075)	(0.075)	(0.071)	(0.079)	(0.099)	(0.075)	(0.078)	(0.076)	(0.076)	(0.065)	(0.094)	(0.069)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.58***	0.67***	0.68***	0.74***		0.76***	0.76***	0.78***	0.70***	0.71***	0.72***	0.74***	0.64***	0.72***				0.85***	0.84***	0.67***	0.60***																							0.67***
