		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.31	0.26	0.27	0.17	0.20	0.28	0.085	0.082	0.084				0.52*	0.25	0.32				0.36*	0.24	0.34*	0.16	0.098																						0.16
		(0.21)	(0.21)	(0.21)	(0.22)	(0.22)	(0.21)	(0.47)	(0.47)	(0.47)				(0.29)	(0.21)	(0.20)				(0.21)	(0.20)	(0.20)	(0.22)	(0.21)																						(0.21)
2.nationality_num	Nationality = 2, Dutch	-0.013	-0.022	-0.0091	-0.025	-0.030	-0.011	-0.0069	-0.010	-0.0080	-0.033	-0.028	-0.10	0.19	-0.015	-0.11*	0.13**	0.13**	0.031	0.033	0.052	-0.056	-0.039	-0.040	0.0064	-0.053	0.0039	-0.054	-0.054	0.028	-0.068	-0.075	-0.083	-0.12*	-0.044	-0.044	-0.20***	-0.12*	-0.044	-0.044	0.014	-0.083	-0.12*	-0.046	-0.044	0.025
		(0.054)	(0.054)	(0.055)	(0.055)	(0.058)	(0.053)	(0.054)	(0.055)	(0.055)	(0.053)	(0.069)	(0.10)	(0.20)	(0.054)	(0.055)	(0.059)	(0.059)	(0.059)	(0.054)	(0.052)	(0.059)	(0.058)	(0.056)	(0.074)	(0.056)	(0.074)	(0.055)	(0.055)	(0.051)	(0.051)	(0.061)	(0.065)	(0.070)	(0.063)	(0.063)	(0.067)	(0.073)	(0.082)	(0.063)	(0.065)	(0.065)	(0.070)	(0.051)	(0.068)	(0.060)
4.nationality_num	Nationality = 4, French	0.19***	0.15**	0.15**	0.14**	0.17**	0.22***	0.22***	0.21***	0.22***	0.20***	0.19***	0.20***	0.21***	0.18**	0.23***	0.16**	0.16**	0.16**	0.29***	0.29***	0.23***	0.13*	0.15**	0.14**	0.15**	0.15**	0.18***	0.18***	0.25***	0.25***	0.19***	0.21***	0.19**	0.26***	0.26***	0.18***	0.26***	0.26***	0.26***	0.30***	0.21***	0.19**	0.23***	0.26***	0.24***
		(0.067)	(0.068)	(0.068)	(0.068)	(0.070)	(0.066)	(0.068)	(0.068)	(0.070)	(0.065)	(0.064)	(0.065)	(0.068)	(0.071)	(0.067)	(0.078)	(0.078)	(0.077)	(0.068)	(0.066)	(0.075)	(0.071)	(0.069)	(0.067)	(0.068)	(0.069)	(0.068)	(0.068)	(0.066)	(0.063)	(0.072)	(0.075)	(0.075)	(0.073)	(0.073)	(0.069)	(0.078)	(0.087)	(0.073)	(0.076)	(0.075)	(0.075)	(0.059)	(0.082)	(0.071)
5.nationality_num	Nationality = 5, Spanish	0.78***	0.58***	0.35	0.69***	0.78***		0.80***	0.79***	0.79***	0.72***	0.73***	0.74***	0.78***	0.71***	0.75***				1.01***	0.91***	0.71***	0.61***																							0.72***
		(0.12)	(0.14)	(0.21)	(0.21)	(0.12)		(0.12)	(0.12)	(0.12)	(0.13)	(0.13)	(0.13)	(0.12)	(0.12)	(0.11)				(0.12)	(0.11)	(0.22)	(0.14)																							(0.20)
1.period	Period = 1, pre-1750				-0.11*																												-0.17***	-0.18***	-0.14**	-0.14**	-0.18***	-0.10	-0.14**	-0.14**	-0.11*	-0.17***	-0.18***	-0.15***	-0.14***	-0.092
					(0.059)																												(0.064)	(0.064)	(0.063)	(0.063)	(0.059)	(0.064)	(0.055)	(0.063)	(0.065)	(0.064)	(0.064)	(0.050)	(0.051)	(0.061)
3.period	Period = 3, 1776-1800				0.14***																												0.16***	0.15**	0.22***	0.22***	0.19***	0.15**	0.22**	0.22***	0.17**	0.16***	0.15**	0.090*	0.22**	0.13*
					(0.054)																												(0.063)	(0.064)	(0.065)	(0.065)	(0.061)	(0.069)	(0.11)	(0.065)	(0.067)	(0.063)	(0.064)	(0.053)	(0.10)	(0.066)
4.period	Period = 4, post-1800				0.088																												0.52***	0.48***	0.64***	0.64***	0.39**	0.39**	0.64***	0.64***	0.40**	0.52***	0.48***	0.47***	0.64***	0.38**
					(0.18)																												(0.17)	(0.17)	(0.17)	(0.17)	(0.16)	(0.17)	(0.23)	(0.17)	(0.17)	(0.17)	(0.17)	(0.14)	(0.18)	(0.18)
YEARAF	(mean) YEARAF		0.0034**	-0.27																			0.0030**	0.0071***	0.0071***	0.0068***	0.0071***	0.0067***	0.0067***	0.011***	0.0097***	0.0095***														
			(0.0013)	(0.19)																			(0.0013)	(0.0016)	(0.0017)	(0.0016)	(0.0017)	(0.0016)	(0.0016)	(0.0015)	(0.0014)	(0.0016)														
yearsq	yearsq			0.000077																																										
				(0.000053)																																										
war	(mean) war					0.14**																	0.13**	0.091*	0.034	0.020	0.035	0.015	0.015	0.087*	0.062	0.033	-0.0031	-0.0081	0.047	0.047	0.029	0.092	0.047	0.047	0.057	-0.0031	-0.0081	0.021	0.047	0.14**
						(0.054)																	(0.054)	(0.054)	(0.056)	(0.056)	(0.056)	(0.056)	(0.056)	(0.051)	(0.048)	(0.051)	(0.055)	(0.054)	(0.055)	(0.055)	(0.051)	(0.057)	(0.056)	(0.055)	(0.057)	(0.055)	(0.054)	(0.044)	(0.053)	(0.056)
neutral	(mean) neutral					0.18***																	0.17***	0.12**	0.063	0.057	0.060	0.050	0.050	0.055	0.068	0.067	0.062	0.064	0.066	0.066	0.083	0.13**	0.066	0.066	0.078	0.062	0.064	0.063	0.066	0.18***
						(0.051)																	(0.051)	(0.052)	(0.052)	(0.052)	(0.052)	(0.052)	(0.052)	(0.047)	(0.045)	(0.048)	(0.058)	(0.057)	(0.057)	(0.057)	(0.053)	(0.059)	(0.068)	(0.057)	(0.060)	(0.058)	(0.057)	(0.047)	(0.065)	(0.059)
pricemarkup	(mean) pricemarkup						0.054***																	0.091***	0.068***	0.074***	0.066***	0.073***	0.073***	0.082***	0.076***	0.080***	0.050**	0.052***	0.036*	0.036*	0.036**		0.036	0.036*	0.036*	0.050**	0.052***	0.014	0.036	
							(0.017)																	(0.021)	(0.023)	(0.023)	(0.023)	(0.023)	(0.023)	(0.021)	(0.020)	(0.020)	(0.019)	(0.019)	(0.020)	(0.020)	(0.018)		(0.023)	(0.020)	(0.020)	(0.019)	(0.019)	(0.016)	(0.022)	
captain_experience_d	Not the first voyage of the captain							-0.0021																				0.033	0.033	0.023	0.030	0.030	0.031	0.026	0.020	0.020	0.016	0.047	0.020	0.020	0.040	0.031	0.026	0.046	0.020	
								(0.047)																				(0.046)	(0.046)	(0.042)	(0.040)	(0.042)	(0.043)	(0.043)	(0.044)	(0.044)	(0.041)	(0.047)	(0.044)	(0.044)	(0.046)	(0.043)	(0.043)	(0.036)	(0.043)	
captain_experience	(min) captain_experience								-0.0051																		-0.0052																			
									(0.0081)																		(0.0077)																			
captain_total_career	(mean) captain_total_career									-0.00060																																				
										(0.0058)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										0.069															0.072		0.076	0.076	0.14**	0.075	0.12**	0.12*	0.12**	0.11*	0.11*	0.11*	0.10	0.11*	0.11*	0.096	0.12*	0.12**	0.055	0.11*	
											(0.064)															(0.062)		(0.062)	(0.062)	(0.057)	(0.054)	(0.058)	(0.060)	(0.060)	(0.061)	(0.061)	(0.057)	(0.063)	(0.058)	(0.061)	(0.063)	(0.060)	(0.060)	(0.049)	(0.056)	
OUTFITTER_experience	(min) OUTFITTER_experience											0.00011													-0.0011		-0.0011																			
												(0.0011)													(0.0011)		(0.0011)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.00094																																	
													(0.0010)																																	
1.perspective	Perspective of source = 1, Captain													-0.029																																
														(0.35)																																
3.perspective	Perspective of source = 3, Investor													0.21																																
														(0.20)																																
4.perspective	Perspective of source = 4, Owner													0.18																																
														(0.52)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														0.12**															-0.0093	0.0074	0.0044	-0.0033				0.72***					-0.0033				
															(0.055)															(0.049)	(0.047)	(0.052)	(0.056)				(0.16)					(0.056)				
MORTALITY	Enslaved person mortality rate															-1.47***			-1.56***												-1.51***	-1.47***	-1.49***	-1.51***	-1.49***	-1.49***	-1.57***		-1.49***	-1.49***	-1.41***	-1.49***	-1.51***	-1.30***	-1.49***	
																(0.28)			(0.28)												(0.24)	(0.25)	(0.25)	(0.25)	(0.25)	(0.25)	(0.24)		(0.25)	(0.25)	(0.26)	(0.25)	(0.25)	(0.20)	(0.24)	
crowd	(mean) crowd																0.22***	0.22***	0.22***													0.023	0.0093	0.023	0.013	0.013	-0.022		0.013	0.013	0.14***	0.0093	0.023	-0.012	0.013	
																	(0.040)	(0.040)	(0.039)													(0.046)	(0.047)	(0.046)	(0.045)	(0.045)	(0.075)		(0.084)	(0.045)	(0.041)	(0.047)	(0.046)	(0.037)	(0.061)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.22***															-0.15***	-0.15***	-0.84***	-0.32***	-0.15	-0.15***	-0.27***			-0.065*	-0.15*	-0.29***
																				(0.042)															(0.047)	(0.047)	(0.11)	(0.12)	(0.11)	(0.047)	(0.044)			(0.039)	(0.091)	(0.044)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.11***									-0.13***	-0.13***	-0.12***	-0.12***	-0.12***	-0.12***	-0.12***	0.077**		-0.12	-0.12***		-0.12***	-0.12***	-0.10***	-0.12**	
																					(0.015)									(0.015)	(0.014)	(0.016)	(0.017)	(0.017)	(0.022)	(0.022)	(0.038)		(0.084)	(0.022)		(0.017)	(0.017)	(0.017)	(0.053)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.069																								
																						(0.059)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					0.010																								
																						(0.069)																								
TONMOD	(mean) TONMOD																																	0.00027			0.00098*	0.00074					0.00027			
																																		(0.00029)			(0.00052)	(0.00065)					(0.00029)			
totalnetexpperton	totalnetexpperton																																					-0.000030								
																																						(0.000037)								
Constant	Constant	0.064**	-5.98**	234	0.059*	-0.011	-0.15**	0.059	0.071**	0.062	0.017	0.073**	0.052	-0.15	-0.59*	0.28***	-0.29***	-0.29***	-0.059	3.05***	0.34***	0.10*	-5.29**	-12.8***	-12.7***	-12.4***	-12.7***	-12.1***	-12.1***	-19.3***	-16.9***	-16.7***	0.26	0.17	2.29***	2.29***	6.84***	4.10***	2.29*	2.29***	3.31***	0.26	0.17	1.21**	2.29**	3.87***
		(0.028)	(2.37)	(165)	(0.036)	(0.034)	(0.071)	(0.043)	(0.035)	(0.047)	(0.061)	(0.031)	(0.038)	(0.20)	(0.31)	(0.050)	(0.068)	(0.068)	(0.076)	(0.56)	(0.046)	(0.054)	(2.34)	(2.81)	(2.97)	(2.90)	(2.96)	(2.89)	(2.89)	(2.70)	(2.58)	(2.80)	(0.31)	(0.16)	(0.60)	(0.60)	(0.85)	(1.42)	(1.29)	(0.60)	(0.59)	(0.31)	(0.16)	(0.50)	(1.10)	(0.58)
																																														
Observations		478	478	478	478	478	460	462	462	462	422	422	422	478	455	454	404	404	399	459	455	404	478	460	409	409	408	408	408	397	396	364	364	364	347	347	347	354	347	347	347	364	364	343	347	459
R-squared		0.099	0.111	0.115	0.125	0.133	0.045	0.102	0.103	0.102	0.088	0.085	0.087	0.103	0.118	0.164	0.081	0.081	0.149	0.155	0.208	0.065	0.142	0.116	0.086	0.086	0.089	0.090	0.090	0.266	0.336	0.308	0.283	0.285	0.328	0.328	0.418	0.182	0.328	0.328	0.267	0.283	0.285	0.307	0.328	0.232
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
