		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
2.nationality_num	Nationality = 2, Dutch	0.37	0.29	0.41	0.20	0.29	0.59	0.38	0.36	0.34	0.35	0.36	0.17	0.34	0.37	0.30	0.42	0.42	0.40	0.24	0.11	-0.026	0.12	0.28	0.55	0.31	0.52	0.32	0.32	-0.40*	-0.36*	-0.30	-0.46	-0.45	-0.48*	-0.48*	-0.43**	-0.74*	-0.48	-0.48*	0.12	-0.46	-0.45	-0.24	-0.48**	-0.19
		(0.41)	(0.42)	(0.40)	(0.44)	(0.38)	(0.38)	(0.41)	(0.41)	(0.42)	(0.41)	(0.48)	(0.46)	(0.71)	(0.41)	(0.41)	(0.44)	(0.44)	(0.43)	(0.33)	(0.35)	(0.65)	(0.39)	(0.36)	(0.42)	(0.37)	(0.42)	(0.37)	(0.37)	(0.23)	(0.20)	(0.23)	(0.28)	(0.27)	(0.27)	(0.27)	(0.17)	(0.44)	(0.46)	(0.27)	(0.36)	(0.28)	(0.27)	(0.18)	(0.20)	(0.32)
4.nationality_num	Nationality = 4, French	0.76***	0.69***	0.77***	0.65**	0.66***	0.96***	0.75***	0.74***	0.72***	0.72***	0.73***	0.80***	0.71***	0.76***	0.66***	0.51**	0.51**	0.36	0.93***	0.58***	1.10***	0.53**	0.63***	0.57**	0.61***	0.51**	0.61***	0.61***	0.29*	0.078	-0.018	-0.10	-0.13	-0.064	-0.064	-0.11	0.14	-0.064	-0.064	0.37	-0.10	-0.13	0.19	-0.064	0.70***
		(0.22)	(0.23)	(0.22)	(0.25)	(0.21)	(0.20)	(0.22)	(0.22)	(0.23)	(0.22)	(0.23)	(0.23)	(0.23)	(0.23)	(0.22)	(0.24)	(0.24)	(0.25)	(0.17)	(0.18)	(0.23)	(0.22)	(0.21)	(0.22)	(0.22)	(0.23)	(0.22)	(0.22)	(0.15)	(0.14)	(0.15)	(0.18)	(0.18)	(0.18)	(0.18)	(0.11)	(0.26)	(0.31)	(0.18)	(0.24)	(0.18)	(0.18)	(0.12)	(0.22)	(0.19)
YEARAF	(mean) YEARAF		0.0032	-1.83***																			0.0063*	0.010***	0.013***	0.011***	0.014***	0.012***	0.012***	0.018***	0.017***	0.017***														
			(0.0037)	(0.56)																			(0.0034)	(0.0033)	(0.0037)	(0.0036)	(0.0037)	(0.0036)	(0.0036)	(0.0023)	(0.0020)	(0.0021)														
yearsq	yearsq			0.00052***																																										
				(0.00016)																																										
1.period	Period = 1, pre-1750				0.100																												-0.57**	-0.55**	-0.60**	-0.60**	-0.63***	-0.91**	-0.60*	-0.60**	-0.24	-0.57**	-0.55**	-0.51***	-0.60**	-0.37
					(0.37)																												(0.24)	(0.24)	(0.23)	(0.23)	(0.14)	(0.38)	(0.35)	(0.23)	(0.32)	(0.24)	(0.24)	(0.15)	(0.22)	(0.27)
3.period	Period = 3, 1776-1800				0.49																												0.39	0.42*	0.33	0.33	0.16	-0.39	0.33	0.33	0.37	0.39	0.42*	0.16	0.33	0.057
					(0.36)																												(0.24)	(0.24)	(0.24)	(0.24)	(0.15)	(0.37)	(0.40)	(0.24)	(0.34)	(0.24)	(0.24)	(0.16)	(0.25)	(0.26)
war	(mean) war					0.20																	0.22	0.074	0.099	0.0072	0.10	0.015	0.015	0.22*	0.10	-0.063	-0.21*	-0.23*	-0.20	-0.20	-0.17**	0.013	-0.20	-0.20	-0.29*	-0.21*	-0.23*	-0.088	-0.20*	0.26*
						(0.17)																	(0.17)	(0.16)	(0.20)	(0.19)	(0.20)	(0.19)	(0.19)	(0.11)	(0.10)	(0.12)	(0.12)	(0.12)	(0.12)	(0.12)	(0.074)	(0.16)	(0.15)	(0.12)	(0.17)	(0.12)	(0.12)	(0.078)	(0.11)	(0.13)
neutral	(mean) neutral					0.52***																	0.55***	0.44***	0.34*	0.39**	0.34*	0.38**	0.38**	0.24**	0.43***	0.48***	0.33***	0.36***	0.30**	0.30**	0.23***	0.28*	0.30*	0.30**	0.31*	0.33***	0.36***	0.16**	0.30***	0.23*
						(0.16)																	(0.16)	(0.15)	(0.17)	(0.17)	(0.17)	(0.17)	(0.17)	(0.11)	(0.11)	(0.11)	(0.11)	(0.11)	(0.11)	(0.11)	(0.069)	(0.16)	(0.16)	(0.11)	(0.16)	(0.11)	(0.11)	(0.074)	(0.11)	(0.13)
pricemarkup	(mean) pricemarkup						0.17***																	0.17***	0.15**	0.14**	0.17***	0.15**	0.15**	0.11***	0.10***	0.13***	0.13***	0.14***	0.13***	0.13***	0.11***		0.13***	0.13***	0.18***	0.13***	0.14***	0.10***	0.13***	
							(0.040)																	(0.043)	(0.058)	(0.060)	(0.059)	(0.061)	(0.061)	(0.036)	(0.032)	(0.035)	(0.036)	(0.037)	(0.036)	(0.036)	(0.023)		(0.043)	(0.036)	(0.049)	(0.036)	(0.037)	(0.024)	(0.037)	
captain_experience_d	Not the first voyage of the captain							-0.11																				-0.097	-0.097	-0.12	-0.076	-0.093	-0.091	-0.10	-0.069	-0.069	-0.087	0.14	-0.069	-0.069	-0.089	-0.091	-0.10	0.014	-0.069	
								(0.15)																				(0.16)	(0.16)	(0.10)	(0.089)	(0.092)	(0.10)	(0.098)	(0.098)	(0.098)	(0.063)	(0.16)	(0.11)	(0.098)	(0.14)	(0.10)	(0.098)	(0.065)	(0.078)	
captain_experience	(min) captain_experience								-0.010																		-0.019																			
									(0.019)																		(0.018)																			
captain_total_career	(mean) captain_total_career									-0.011																																				
										(0.016)																																				
OUTFITTER_experience_d	Not the first voyage of the outfitter										-0.079															-0.12		-0.13	-0.13	0.15	-0.050	0.12	0.037	0.0070	0.074	0.074	0.030	0.11	0.074	0.074	0.22	0.037	0.0070	0.052	0.074	
											(0.26)															(0.24)		(0.24)	(0.24)	(0.15)	(0.14)	(0.16)	(0.16)	(0.16)	(0.16)	(0.16)	(0.095)	(0.23)	(0.16)	(0.16)	(0.22)	(0.16)	(0.16)	(0.097)	(0.11)	
OUTFITTER_experience	(min) OUTFITTER_experience											-0.00024													-0.0062		-0.0063																			
												(0.0052)													(0.0053)		(0.0052)																			
OUTFITTER_total_career	(mean) OUTFITTER_total_career												0.0034																																	
													(0.0043)																																	
1.perspective	Perspective of source = 1, Captain													0.55																																
														(1.14)																																
3.perspective	Perspective of source = 3, Investor													-0.053																																
														(0.86)																																
ln_SLAXIMP	Enslaved persons emparked (ln)														-0.0096															-0.13	0.0035	-0.050	-0.026				2.30***					-0.026				
															(0.23)															(0.14)	(0.13)	(0.12)	(0.12)				(0.46)					(0.12)				
MORTALITY	Enslaved person mortality rate															-1.64*			-1.91**												-2.33***	-2.39***	-2.44***	-2.60***	-2.25***	-2.25***	-1.78***		-2.25*	-2.25***	-2.18**	-2.44***	-2.60***	-1.27***	-2.25***	
																(0.96)			(0.86)												(0.59)	(0.59)	(0.59)	(0.60)	(0.58)	(0.58)	(0.40)		(1.23)	(0.58)	(0.83)	(0.59)	(0.60)	(0.40)	(0.77)	
crowd	(mean) crowd																0.47***	0.47***	0.49***													-0.042	-0.057	0.0014	-0.060	-0.060	0.076		-0.060	-0.060	0.38***	-0.057	0.0014	-0.072	-0.060	
																	(0.094)	(0.094)	(0.092)													(0.12)	(0.12)	(0.16)	(0.12)	(0.12)	(0.18)		(0.13)	(0.12)	(0.14)	(0.12)	(0.16)	(0.080)	(0.10)	
ln_totalnetexp_silver_ship	Net expenditure on venture (ln(silver grams))																			-0.98***															-0.15	-0.15	-2.55***	-0.97**	-0.15	-0.15	-0.42**			-0.13	-0.15	-0.97***
																				(0.14)															(0.12)	(0.12)	(0.35)	(0.48)	(0.16)	(0.12)	(0.16)			(0.089)	(0.12)	(0.13)
investment_per_slavekg	Total net expenditure in kg of silver per enslaved person																				-0.40***									-0.50***	-0.44***	-0.42***	-0.44***	-0.43***	-0.41***	-0.41***	0.41***		-0.41***	-0.41***		-0.44***	-0.43***	-0.29***	-0.41***	
																					(0.063)									(0.053)	(0.048)	(0.062)	(0.065)	(0.067)	(0.067)	(0.067)	(0.12)		(0.098)	(0.067)		(0.065)	(0.067)	(0.045)	(0.076)	
1.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 1, Bight of Guinea																					-0.37																								
																						(0.28)																								
2.MAJMAJBYIMP_num	(first) MAJMAJBYIMP = 2, South																					-0.54																								
																						(0.34)																								
TONMOD	(mean) TONMOD																																	0.00041			0.0013	0.0017					0.00041			
																																		(0.00068)			(0.0011)	(0.0025)					(0.00068)			
totalnetexpperton	totalnetexpperton																																					-0.000098								
																																						(0.00016)								
Constant	Constant	-0.033	-5.66	1,611***	-0.19	-0.25***	-0.86***	0.032	-0.0057	0.034	0.061	-0.0036	-0.10	0.020	0.022	0.24	-0.81***	-0.81***	-0.51**	13.3***	1.08***	0.27	-11.2*	-19.3***	-23.3***	-20.9***	-24.6***	-21.0***	-21.0***	-30.4***	-29.5***	-27.9***	1.60*	1.23*	3.37**	3.37**	20.1***	13.6**	3.37	3.37**	4.63*	1.60*	1.23*	2.66**	3.37*	13.2***
		(0.080)	(6.53)	(489)	(0.36)	(0.091)	(0.21)	(0.12)	(0.095)	(0.13)	(0.25)	(0.14)	(0.16)	(0.87)	(1.30)	(0.18)	(0.17)	(0.17)	(0.22)	(1.84)	(0.19)	(0.26)	(6.02)	(5.93)	(6.54)	(6.43)	(6.63)	(6.47)	(6.47)	(4.18)	(3.66)	(3.85)	(0.94)	(0.69)	(1.64)	(1.64)	(2.44)	(5.45)	(2.43)	(1.64)	(2.31)	(0.94)	(0.69)	(1.29)	(1.69)	(1.80)
																																														
Observations		91	91	91	91	91	91	91	91	91	58	58	58	91	91	91	82	82	82	91	91	75	91	91	58	58	58	58	58	58	58	49	49	49	49	49	49	49	49	49	49	49	49	46	49	91
R-squared		0.126	0.133	0.231	0.173	0.281	0.279	0.131	0.129	0.130	0.173	0.171	0.181	0.133	0.126	0.154	0.274	0.274	0.317	0.455	0.402	0.264	0.308	0.416	0.430	0.417	0.444	0.421	0.421	0.806	0.855	0.862	0.867	0.868	0.872	0.872	0.955	0.626	0.872	0.872	0.734	0.867	0.868	0.878	0.872	0.585
Standard errors in parentheses																																														
*** p<0.01, ** p<0.05, * p<0.1																																														
