		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.21	0.18	0.17	0.13	0.14	0.20	0.019	0.015	0.023				0.41	0.14	0.22				0.23	0.19	0.20	0.14	0.10																						0.13
		(0.18)	(0.18)	(0.18)	(0.18)	(0.18)	(0.17)	(0.39)	(0.39)	(0.39)				(0.25)	(0.17)	(0.17)				(0.18)	(0.17)	(0.17)	(0.18)	(0.17)																						(0.18)
2.nationality_num	Nationality = 2, Dutch	-0.032	-0.024	-0.025	-0.022	-0.053	-0.034	-0.028	-0.028	-0.020	-0.037	-0.041	-0.090	0.17	-0.045	-0.10**	0.00088	0.00088	-0.077	-0.016	-0.0014	-0.044	-0.043	-0.048	-0.0081	-0.046	-0.00074	-0.045	-0.045	0.018	-0.047	-0.083	-0.098	-0.11	-0.060	-0.060	-0.15*	-0.078	-0.060	-0.060	0.0013	-0.098	-0.11	-0.086	-0.060	-0.0054
		(0.047)	(0.047)	(0.047)	(0.048)	(0.053)	(0.046)	(0.047)	(0.048)	(0.048)	(0.049)	(0.064)	(0.096)	(0.18)	(0.046)	(0.048)	(0.054)	(0.054)	(0.054)	(0.049)	(0.046)	(0.052)	(0.054)	(0.051)	(0.076)	(0.053)	(0.076)	(0.053)	(0.053)	(0.051)	(0.052)	(0.071)	(0.071)	(0.080)	(0.070)	(0.070)	(0.082)	(0.080)	(0.080)	(0.070)	(0.070)	(0.071)	(0.080)	(0.067)	(0.067)	(0.057)
4.nationality_num	Nationality = 4, French	0.0073	-0.020	-0.020	-0.015	-0.014	0.00092	0.027	0.031	0.047	0.025	0.019	0.023	0.033	-0.031	0.042	-0.011	-0.011	0.0095	0.033	0.054	-0.044	-0.032	-0.040	-0.029	-0.022	-0.0050	0.0036	0.0036	0.024	0.051	0.0065	0.017	0.021	0.044	0.044	0.0026	0.049	0.044	0.044	0.073	0.017	0.021	0.017	0.044	0.015
		(0.062)	(0.063)	(0.063)	(0.062)	(0.066)	(0.060)	(0.063)	(0.063)	(0.065)	(0.063)	(0.063)	(0.063)	(0.063)	(0.066)	(0.063)	(0.073)	(0.073)	(0.073)	(0.064)	(0.063)	(0.071)	(0.067)	(0.064)	(0.066)	(0.066)	(0.067)	(0.067)	(0.067)	(0.068)	(0.067)	(0.077)	(0.079)	(0.079)	(0.079)	(0.079)	(0.079)	(0.081)	(0.17)	(0.079)	(0.081)	(0.079)	(0.079)	(0.076)	(0.16)	(0.069)
5.nationality_num	Nationality = 5, Spanish	0.88***	0.72***	0.83***	0.79***	0.88***		0.89***	0.89***	0.91***	0.83***	0.84***	0.85***	0.88***	0.79***	0.86***				0.93***	0.94***	0.81***	0.75***																							0.78***
