		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.25	0.25	0.23	0.25	0.27	0.053	0.053	0.059				0.39	0.20	0.29				0.30	0.24	0.27	0.24	0.21																						0.24
		(0.19)	(0.19)	(0.19)	(0.19)	(0.19)	(0.18)	(0.41)	(0.41)	(0.41)				(0.27)	(0.18)	(0.18)				(0.19)	(0.18)	(0.18)	(0.19)	(0.19)																						(0.19)
2.nationality_num	Nationality = 2, Dutch	-0.064	-0.057	-0.058	-0.055	-0.069	-0.066	-0.057	-0.057	-0.049	-0.070	-0.100	-0.24**	0.049	-0.074	-0.13***	-0.015	-0.015	-0.097*	-0.037	-0.017	-0.078	-0.061	-0.066	-0.079	-0.066	-0.071	-0.065	-0.065	0.018	-0.054	-0.078	-0.097	-0.11	-0.037	-0.037	-0.15*	-0.099	-0.037	-0.037	0.0091	-0.097	-0.11	-0.093	-0.037	-0.0063
		(0.050)	(0.050)	(0.050)	(0.050)	(0.056)	(0.048)	(0.050)	(0.050)	(0.051)	(0.051)	(0.068)	(0.10)	(0.19)	(0.049)	(0.051)	(0.058)	(0.058)	(0.058)	(0.052)	(0.049)	(0.056)	(0.057)	(0.055)	(0.081)	(0.056)	(0.081)	(0.056)	(0.056)	(0.057)	(0.058)	(0.077)	(0.078)	(0.087)	(0.076)	(0.076)	(0.087)	(0.085)	(0.094)	(0.076)	(0.077)	(0.078)	(0.087)	(0.068)	(0.082)	(0.061)
4.nationality_num	Nationality = 4, French	-0.18***	-0.20***	-0.20***	-0.19***	-0.18***	-0.19***	-0.16**	-0.15**	-0.14**	-0.16**	-0.17**	-0.16**	-0.16**	-0.21***	-0.14**	-0.049	-0.049	-0.030	-0.13*	-0.11	-0.19**	-0.20***	-0.21***	-0.19***	-0.19***	-0.17**	-0.16**	-0.16**	-0.12	-0.097	-0.011	0.0034	0.0058	0.052	0.052	-0.00073	0.046	0.052	0.052	0.068	0.0034	0.0058	-0.0065	0.052	-0.13*
		(0.065)	(0.067)	(0.067)	(0.066)	(0.070)	(0.064)	(0.067)	(0.067)	(0.068)	(0.066)	(0.066)	(0.066)	(0.067)	(0.070)	(0.067)	(0.079)	(0.079)	(0.078)	(0.069)	(0.068)	(0.077)	(0.071)	(0.069)	(0.070)	(0.070)	(0.072)	(0.072)	(0.072)	(0.075)	(0.073)	(0.084)	(0.087)	(0.086)	(0.086)	(0.086)	(0.085)	(0.088)	(0.18)	(0.086)	(0.088)	(0.087)	(0.086)	(0.078)	(0.17)	(0.073)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.62***	0.75***	0.65***	0.74***		0.76***	0.77***	0.78***	0.70***	0.71***	0.74***	0.74***	0.66***	0.73***				0.84***	0.83***	0.68***	0.64***																							0.65***
