		(1)	(2)	(3)	(4)	(5)	(6)	(7)	(8)	(9)	(10)	(11)	(12)	(13)	(14)	(15)	(16)	(17)	(18)	(19)	(20)	(21)	(22)	(23)	(24)	(25)	(26)	(27)	(28)	(29)	(30)	(31)	(32)	(33)	(34)	(35)	(36)	(37)	(38)	(39)	(40)	(41)	(42)	(43)	(44)	(45)
VARIABLES	LABELS	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1	(Net returns over net outlays) -1
																																														
1.nationality_num	Nationality = 1, Danish	0.27	0.23	0.23	0.14	0.16	0.26	0.054	0.049	0.055				0.57**	0.20	0.29				0.29	0.24	0.27	0.14	0.10																						0.11
		(0.20)	(0.20)	(0.20)	(0.20)	(0.20)	(0.19)	(0.44)	(0.44)	(0.44)				(0.28)	(0.19)	(0.19)				(0.20)	(0.19)	(0.19)	(0.20)	(0.20)																						(0.21)
2.nationality_num	Nationality = 2, Dutch	-0.048	-0.034	-0.034	-0.035	-0.091	-0.051	-0.041	-0.041	-0.036	-0.050	-0.034	-0.061	0.23	-0.058	-0.12**	-0.0038	-0.0038	-0.086	-0.029	-0.0047	-0.076	-0.077	-0.080	0.015	-0.075	0.021	-0.074	-0.074	0.015	-0.049	-0.062	-0.083	-0.094	-0.021	-0.021	-0.13	-0.081	-0.021	-0.021	0.026	-0.083	-0.094	-0.078	-0.021	-0.013
		(0.053)	(0.053)	(0.053)	(0.053)	(0.060)	(0.052)	(0.053)	(0.054)	(0.054)	(0.055)	(0.072)	(0.11)	(0.20)	(0.052)	(0.053)	(0.059)	(0.059)	(0.059)	(0.056)	(0.052)	(0.058)	(0.060)	(0.058)	(0.085)	(0.060)	(0.085)	(0.060)	(0.060)	(0.059)	(0.060)	(0.078)	(0.079)	(0.088)	(0.077)	(0.077)	(0.089)	(0.087)	(0.095)	(0.077)	(0.078)	(0.079)	(0.088)	(0.070)	(0.084)	(0.064)
4.nationality_num	Nationality = 4, French	0.14**	0.10	0.10	0.11	0.10	0.14**	0.17**	0.17**	0.18**	0.17**	0.16**	0.16**	0.18**	0.10	0.18***	-0.017	-0.017	0.0045	0.17**	0.20***	0.048	0.074	0.072	0.085	0.096	0.11	0.12	0.12	0.17**	0.20**	0.030	0.044	0.047	0.093	0.093	0.040	0.083	0.093	0.093	0.11	0.044	0.047	0.035	0.093	0.14*
		(0.069)	(0.071)	(0.071)	(0.070)	(0.074)	(0.069)	(0.071)	(0.071)	(0.073)	(0.071)	(0.071)	(0.071)	(0.070)	(0.073)	(0.070)	(0.080)	(0.080)	(0.080)	(0.074)	(0.071)	(0.079)	(0.075)	(0.073)	(0.074)	(0.075)	(0.076)	(0.076)	(0.076)	(0.078)	(0.077)	(0.085)	(0.088)	(0.087)	(0.088)	(0.088)	(0.086)	(0.089)	(0.18)	(0.088)	(0.090)	(0.088)	(0.087)	(0.079)	(0.17)	(0.078)
5.nationality_num	Nationality = 5, Spanish	0.74***	0.51***	0.50**	0.69***	0.74***		0.76***	0.76***	0.77***	0.70***	0.70***	0.71***	0.74***	0.65***	0.73***				0.81***	0.82***	0.67***	0.56***																							0.68***
