="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="346",=".1082964",="",=".4524186",="-2.69344",="3.289092"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="346",="2.895954",="",=".7542235",="1",="5"
="SLAXIMP",="326",="290.9936",="",="125.4415",="46",="980"
="YEARAF",="346",="1772.018",="",="17.50675",="1730",="1830"
="totalnetexp_silver_ship",="346",="723127.8",="",="503134.7",="0",="3492068"
="investment_per_slave",="326",="2574.312",="",="1427.966",="0",="13724.96"
="war",="346",=".2312139",="",=".4222194",="0",="1"
="neutral",="346",=".2427746",="",=".4293809",="0",="1"
="pricemarkup",="328",="3.617025",="",="1.11579",="1.888208",="9.09531"
="OUTFITTER_experience_d",="323",=".8637771",="",=".3435573",="0",="1"
="captain_experience_d",="330",=".6939394",="",=".4615551",="0",="1"
="TONMOD",="302",="224.8789",="",="97.35388",="44",="501"
="ln_SLAXIMP",="326",="5.578982",="",=".4513076",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="327",="13.379",="",=".5920037",="10.99597",="15.066"
="MORTALITY",="325",=".1224931",="",=".0793729",="-.1206897",=".5677966"
="crowd",="299",="1.37967",="",=".5863754",=".1691176",="3.191297"
="N",="346",="",="",="",="",=""
