="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="387",=".1257827",="",=".4232165",="-1",="3.289092"
="nationality_num",="387",="2.930233",="",=".7837671",="1",="5"
="SLAXIMP",="364",="293.2503",="",="123.0373",="46",="980"
="YEARAF",="387",="1772.385",="",="17.12547",="1730",="1830"
="totalnetexp_silver_ship",="387",="749045.8",="",="504420",="0",="3492068"
="investment_per_slave",="364",="2644.708",="",="1490.902",="0",="13724.96"
="war",="387",=".2118863",="",=".4091737",="0",="1"
="neutral",="387",=".2790698",="",=".4491225",="0",="1"
="pricemarkup",="369",="3.605193",="",="1.077387",="1.888208",="9.09531"
="OUTFITTER_experience_d",="364",=".8543956",="",=".3531947",="0",="1"
="captain_experience_d",="371",=".6792453",="",=".467397",="0",="1"
="TONMOD",="325",="229.4684",="",="97.39463",="44",="501"
="ln_SLAXIMP",="364",="5.590835",="",=".4420224",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="368",="13.41125",="",=".5885025",="10.99597",="15.066"
="MORTALITY",="363",=".1232181",="",=".0789718",="-.1206897",=".5677966"
="crowd",="322",="1.354773",="",=".579471",=".1691176",="3.191297"
="N",="387",="",="",="",="",=""
