="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="478",=".1169685",="",=".4986303",="-1",="3.731011"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="478",="2.962343",="",=".7287481",="1",="5"
="SLAXIMP",="455",="298.2178",="",="119.3716",="46",="980"
="YEARAF",="478",="1768.678",="",="19.5513",="1722",="1830"
="totalnetexp_silver_ship",="478",="764895",="",="476843.8",="0",="3492068"
="investment_per_slave",="455",="2658.203",="",="1404.328",="0",="13724.96"
="war",="478",=".2280335",="",=".4200039",="0",="1"
="neutral",="478",=".290795",="",=".4546049",="0",="1"
="pricemarkup",="460",="3.79841",="",="1.292556",="1.888208",="9.09531"
="OUTFITTER_experience_d",="422",=".8554502",="",=".3520637",="0",="1"
="captain_experience_d",="462",=".6601732",="",=".4741637",="0",="1"
="TONMOD",="407",="227.563",="",="96.06137",="44",="501"
="ln_SLAXIMP",="455",="5.614402",="",=".4263844",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="459",="13.43853",="",=".5638401",="10.99597",="15.066"
="MORTALITY",="454",=".1303126",="",=".0801338",="-.1206897",=".5677966"
="crowd",="404",="1.412046",="",=".6214207",=".1691176",="4.884547"
="N",="478",="",="",="",="",=""
