="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="91",=".0794836",="",=".7401374",="-.5995681",="3.731011"
="VOYAGEID",="0",=".",="",=".",=".",="."
="nationality_num",="91",="3.098901",="",=".3959502",="2",="4"
="SLAXIMP",="91",="318.0879",="",="101.6113",="79",="624"
="YEARAF",="91",="1752.912",="",="21.39296",="1722",="1793"
="totalnetexp_silver_ship",="91",="832297.5",="",="328903.2",="115724.7",="2070191"
="investment_per_slave",="91",="2712.183",="",="989.6527",="626.0364",="6160.728"
="war",="91",=".2967033",="",=".4593354",="0",="1"
="neutral",="91",=".3406593",="",=".4765566",="0",="1"
="pricemarkup",="91",="4.581895",="",="1.732228",="2.298712",="8.882692"
="OUTFITTER_experience_d",="58",=".862069",="",=".3478392",="0",="1"
="captain_experience_d",="91",=".5824176",="",=".4958928",="0",="1"
="TONMOD",="82",="220.011",="",="90.76176",="45",="448.7"
="ln_SLAXIMP",="91",="5.708672",="",=".3432472",="4.369448",="6.436151"
="ln_totalnetexp_silver_ship",="91",="13.54885",="",=".4361308",="11.65897",="14.54315"
="MORTALITY",="91",=".1586125",="",=".07889",="0",=".5"
="crowd",="82",="1.636948",="",=".7254845",=".5759737",="4.884547"
="N",="91",="",="",="",="",=""
