="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="294",=".0847931",="",=".3717961",="-.9003112",="3.289092"
="nationality_num",="294",="2.809524",="",=".588088",="2",="4"
="SLAXIMP",="287",="272.8964",="",="113.1793",="46",="980"
="YEARAF",="294",="1769.704",="",="9.706075",="1750",="1795"
="totalnetexp_silver_ship",="294",="640670.9",="",="369522.5",="0",="3217238"
="investment_per_slave",="287",="2476.1",="",="1300.725",="0",="13724.96"
="war",="294",=".207483",="",=".4061958",="0",="1"
="neutral",="294",=".2244898",="",=".4179573",="0",="1"
="pricemarkup",="294",="3.53407",="",=".9295603",="1.888208",="6.907083"
="OUTFITTER_experience_d",="294",=".8571429",="",=".3505237",="0",="1"
="captain_experience_d",="294",=".707483",="",=".4556941",="0",="1"
="TONMOD",="294",="227.8977",="",="97.5873",="44",="497.1"
="ln_SLAXIMP",="287",="5.522162",="",=".4332567",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="275",="13.32437",="",=".4935142",="10.99597",="14.98403"
="MORTALITY",="286",=".1207873",="",=".0818806",="-.1206897",=".5677966"
="crowd",="291",="1.338652",="",=".5725667",=".1691176",="3.191297"
="N",="294",="",="",="",="",=""
