="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="320",=".0941809",="",=".372249",="-.9003112",="3.289092"
="nationality_num",="320",="2.8625",="",=".6382529",="2",="4"
="SLAXIMP",="310",="276.8713",="",="114.5265",="46",="980"
="YEARAF",="320",="1770.947",="",="10.54051",="1750",="1795"
="totalnetexp_silver_ship",="320",="683698.7",="",="406866.2",="0",="3217238"
="investment_per_slave",="310",="2584.147",="",="1428.866",="0",="13724.96"
="war",="320",=".19375",="",=".3958543",="0",="1"
="neutral",="320",=".278125",="",=".4487771",="0",="1"
="pricemarkup",="320",="3.534476",="",=".9301017",="1.888208",="6.907083"
="OUTFITTER_experience_d",="319",=".8432602",="",=".3641265",="0",="1"
="captain_experience_d",="320",=".68125",="",=".4667217",="0",="1"
="TONMOD",="294",="227.8977",="",="97.5873",="44",="497.1"
="ln_SLAXIMP",="310",="5.535514",="",=".437682",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="301",="13.36923",="",=".5231341",="10.99597",="14.98403"
="MORTALITY",="309",=".1216842",="",=".0817274",="-.1206897",=".5677966"
="crowd",="291",="1.338652",="",=".5725667",=".1691176",="3.191297"
="N",="320",="",="",="",="",=""
