="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="294",=".1735092",="",=".5931939",="-.9003112",="3.289092"
="nationality_num",="294",="3.211104",="",=".5583013",="2",="4"
="SLAXIMP",="287",="300.2564",="",="139.5054",="46",="980"
="YEARAF",="294",="1773.523",="",="12.33638",="1750",="1795"
="totalnetexp_silver_ship",="294",="700580.2",="",="466566",="0",="3217238"
="investment_per_slave",="287",="2430.9",="",="1270.367",="0",="13724.96"
="war",="294",=".2134263",="",=".4104247",="0",="1"
="neutral",="294",=".3779105",="",=".4856918",="0",="1"
="pricemarkup",="294",="3.587656",="",=".9136681",="1.888208",="6.907083"
="OUTFITTER_experience_d",="294",=".8053243",="",=".3966259",="0",="1"
="captain_experience_d",="294",=".6052092",="",=".4896391",="0",="1"
="TONMOD",="294",="207.4429",="",="86.92581",="44",="497.1"
="ln_SLAXIMP",="287",="5.601768",="",=".4643358",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="275",="13.34748",="",=".6437802",="10.99597",="14.98403"
="MORTALITY",="286",=".1271662",="",=".0824979",="-.1206897",=".5677966"
="crowd",="291",="1.56569",="",=".4972686",=".1691176",="3.191297"
="N",="294",="",="",="",="",=""
