="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="320",=".1396252",="",=".4482252",="-.9003112",="3.289092"
="nationality_num",="320",="3.211104",="",=".5582239",="2",="4"
="SLAXIMP",="310",="286.3646",="",="126.9714",="46",="980"
="YEARAF",="320",="1773.308",="",="12.25842",="1750",="1795"
="totalnetexp_silver_ship",="320",="707604.5",="",="507942.8",="0",="3217238"
="investment_per_slave",="310",="2498.2",="",="1551.462",="0",="13724.96"
="war",="320",=".2254533",="",=".418535",="0",="1"
="neutral",="320",=".3530835",="",=".4786769",="0",="1"
="pricemarkup",="320",="3.598331",="",=".8957641",="1.888208",="6.907083"
="OUTFITTER_experience_d",="319",=".7555591",="",=".4304304",="0",="1"
="captain_experience_d",="320",=".5546142",="",=".4977867",="0",="1"
="TONMOD",="294",="195.482",="",="83.14461",="44",="497.1"
="ln_SLAXIMP",="310",="5.558663",="",=".4591654",="3.828641",="6.887553"
="ln_totalnetexp_silver_ship",="301",="13.37471",="",=".6813243",="10.99597",="14.98403"
="MORTALITY",="309",=".13274",="",=".0706425",="-.1206897",=".5677966"
="crowd",="291",="1.518857",="",=".5280274",=".1691176",="3.191297"
="N",="320",="",="",="",="",=""
