="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="346",=".1082964",="",=".4524186",="-2.69344",="3.289092"
="nationality_num",="346",="2.895954",="",=".7542235",="1",="5"
="period",="346",="2.300578",="",=".6868113",="1",="4"
="war",="346",=".2312139",="",=".4222194",="0",="1"
="neutral",="346",=".2427746",="",=".4293809",="0",="1"
="big_port",="346",=".4971098",="",=".5007157",="0",="1"
="ln_totalnetexp_silver_ship",="327",="13.379",="",=".5920037",="10.99597",="15.066"
="pricemarkup",="328",="3.617025",="",="1.11579",="1.888208",="9.09531"
="MAJMAJBYIMP_num",="298",="1.751678",="",=".8754492",="1",="3"
="TONMOD",="302",="224.8789",="",="97.35388",="44",="501"
="crowd",="299",="1.37967",="",=".5863754",=".1691176",="3.191297"
="OUTFITTER_experience_d",="323",=".8637771",="",=".3435573",="0",="1"
="captain_experience_d",="330",=".6939394",="",=".4615551",="0",="1"
="OUTFITTER_total_career",="323",="47.19659",="",="43.44909",="1",="114"
="captain_total_career",="330",="5.722756",="",="3.955784",="1",="23"
="OUTFITTER_regional_experience_d",="298",=".8120805",="",=".3913049",="0",="1"
="captain_regional_experience_d",="302",=".5728477",="",=".4954858",="0",="1"
="investment_per_slave",="326",="2574.312",="",="1427.966",="0",="13724.96"
="ln_SLAXIMP",="326",="5.578982",="",=".4513076",="3.828641",="6.887553"
="MORTALITY",="325",=".1224931",="",=".0793729",="-.1206897",=".5677966"
="ln_length_in_days",="256",="6.089998",="",=".2771931",="5.365976",="6.828712"
="FATEcol",="314",="1.33121",="",=".8451216",="1",="4"
="N",="346",="",="",="",="",=""
