="",="(1)",="",="",="",="",=""
="",="",="",="",="",="",=""
="",="count",="mean",="median",="sd",="min",="max"
="profit",="387",=".1166006",="",=".446164",="-2.69344",="3.289092"
="nationality_num",="387",="2.930233",="",=".7837671",="1",="5"
="period",="387",="2.312661",="",=".6774838",="1",="4"
="war",="387",=".2118863",="",=".4091737",="0",="1"
="neutral",="387",=".2790698",="",=".4491225",="0",="1"
="big_port",="387",=".503876",="",=".5006322",="0",="1"
="ln_totalnetexp_silver_ship",="368",="13.41389",="",=".5892822",="10.99597",="15.066"
="pricemarkup",="369",="3.605193",="",="1.077387",="1.888208",="9.09531"
="MAJMAJBYIMP_num",="329",="1.759878",="",=".869592",="1",="3"
="TONMOD",="325",="229.4684",="",="97.39463",="44",="501"
="crowd",="322",="1.354773",="",=".579471",=".1691176",="3.191297"
="OUTFITTER_experience_d",="364",=".8543956",="",=".3531947",="0",="1"
="captain_experience_d",="371",=".6792453",="",=".467397",="0",="1"
="OUTFITTER_total_career",="364",="46.15614",="",="44.21286",="1",="114"
="captain_total_career",="371",="5.577968",="",="3.843779",="1",="23"
="OUTFITTER_regional_experience_d",="333",=".8048048",="",=".3969474",="0",="1"
="captain_regional_experience_d",="337",=".5667656",="",=".4962591",="0",="1"
="investment_per_slave",="364",="2653.015",="",="1496.709",="0",="13724.96"
="ln_SLAXIMP",="364",="5.590835",="",=".4420224",="3.828641",="6.887553"
="MORTALITY",="363",=".1232181",="",=".0789718",="-.1206897",=".5677966"
="ln_length_in_days",="289",="6.104199",="",=".2705373",="5.365976",="6.828712"
="FATEcol",="355",="1.349296",="",=".8776692",="1",="4"
="N",="387",="",="",="",="",=""
